url,addedInModifiedFiles,deletedFromModifiedFiles,sizeOfModifiedFilesNew,sizeOfModifiedFilesOld,addedFilesSize,removedFilesSize,addedInModifiedFiles + addedFilesSize,deletedFromModifiedFiles + removedFilesSize,addedInModifiedFiles   sizeOfModifiedFilesNew,deletedInModifiedFiles   sizeOfModifiedFilesOld,(addedInModifiedFiles + addedFilesSize)    ( sizeOfModifiedFilesNew + addedFilesSize),(deletedInModifiedFiles + removedFilesSize)   (sizeOfModifiedFilesOld + removedFilesSize)
Chart1,1,1,1994,1994,0,0,1,1,0.0005015045135,0.0005015045135,0.0005015045135,0.0005015045135
Chart10,1,1,69,69,0,0,1,1,0.01449275362,0.01449275362,0.01449275362,0.01449275362
Chart11,1,1,597,597,0,0,1,1,0.001675041876,0.001675041876,0.001675041876,0.001675041876
Chart12,1,1,619,619,0,0,1,1,0.001615508885,0.001615508885,0.001615508885,0.001615508885
Chart13,1,1,534,534,0,0,1,1,0.001872659176,0.001872659176,0.001872659176,0.001872659176
Chart14,12,0,9192,9180,0,0,12,0,0.001305483029,0,0.001305483029,0
Chart15,5,0,3040,3035,0,0,5,0,0.001644736842,0,0.001644736842,0
Chart16,3,3,802,802,0,0,3,3,0.003740648379,0.003740648379,0.003740648379,0.003740648379
Chart17,2,1,1037,1036,0,0,2,1,0.001928640309,0.0009652509653,0.001928640309,0.0009652509653
Chart18,11,3,1039,1031,0,0,11,3,0.01058710298,0.002909796314,0.01058710298,0.002909796314
Chart19,6,0,3813,3807,0,0,6,0,0.001573564123,0,0.001573564123,0
Chart2,14,0,2180,2166,0,0,14,0,0.006422018349,0,0.006422018349,0
Chart20,1,1,156,156,0,0,1,1,0.00641025641,0.00641025641,0.00641025641,0.00641025641
Chart21,39,0,816,777,0,0,39,0,0.04779411765,0,0.04779411765,0
Chart22,32,3,495,466,0,0,32,3,0.06464646465,0.00643776824,0.06464646465,0.00643776824
Chart23,19,0,567,548,0,0,19,0,0.03350970018,0,0.03350970018,0
Chart24,1,1,173,173,0,0,1,1,0.005780346821,0.005780346821,0.005780346821,0.005780346821
Chart25,14,2,567,555,0,0,14,2,0.02469135802,0.003603603604,0.02469135802,0.003603603604
Chart26,2,0,1374,1372,0,0,2,0,0.001455604076,0,0.001455604076,0
Chart3,2,0,1302,1300,0,0,2,0,0.00153609831,0,0.00153609831,0
Chart4,2,0,5866,5864,0,0,2,0,0.000340947835,0,0.000340947835,0
Chart5,5,1,737,733,0,0,5,1,0.006784260516,0.00136425648,0.006784260516,0.00136425648
Chart6,8,1,178,171,0,0,8,1,0.04494382022,0.005847953216,0.04494382022,0.005847953216
Chart7,2,2,573,573,0,0,2,2,0.003490401396,0.003490401396,0.003490401396,0.003490401396
Chart8,1,1,647,647,0,0,1,1,0.001545595054,0.001545595054,0.001545595054,0.001545595054
Chart9,1,1,1039,1039,0,0,1,1,0.0009624639076,0.0009624639076,0.0009624639076,0.0009624639076
Cli1,30,30,317,317,0,0,30,30,0.09463722397,0.09463722397,0.09463722397,0.09463722397
Cli10,2,1,432,431,0,0,2,1,0.00462962963,0.002320185615,0.00462962963,0.002320185615
Cli11,1,1,991,991,0,0,1,1,0.001009081736,0.001009081736,0.001009081736,0.001009081736
Cli12,6,1,116,111,0,0,6,1,0.05172413793,0.009009009009,0.05172413793,0.009009009009
Cli13,10,1,699,690,0,0,10,1,0.01430615165,0.001449275362,0.01430615165,0.001449275362
Cli14,3,3,514,514,0,0,3,3,0.005836575875,0.005836575875,0.005836575875,0.005836575875
Cli15,14,5,274,265,0,0,14,5,0.05109489051,0.01886792453,0.05109489051,0.01886792453
Cli16,15,0,1184,1169,0,0,15,0,0.01266891892,0,0.01266891892,0
Cli17,1,0,312,311,0,0,1,0,0.003205128205,0,0.003205128205,0
Cli18,2,5,297,300,0,0,2,5,0.006734006734,0.01666666667,0.006734006734,0.01666666667
Cli19,2,2,297,297,0,0,2,2,0.006734006734,0.006734006734,0.006734006734,0.006734006734
Cli2,2,1,310,309,0,0,2,1,0.006451612903,0.003236245955,0.006451612903,0.003236245955
Cli20,9,4,302,297,0,0,9,4,0.0298013245,0.01346801347,0.0298013245,0.01346801347
Cli21,34,0,982,948,0,0,34,0,0.03462321792,0,0.03462321792,0
