url,addedInModifiedFiles,deletedFromModifiedFiles,sizeOfModifiedFilesNew,sizeOfModifiedFilesOld,addedFilesSize,removedFilesSize,addedInModifiedFiles + addedFilesSize,deletedFromModifiedFiles + removedFilesSize,addedInModifiedFiles   sizeOfModifiedFilesNew,deletedInModifiedFiles   sizeOfModifiedFilesOld,(addedInModifiedFiles + addedFilesSize)    ( sizeOfModifiedFilesNew + addedFilesSize),(deletedInModifiedFiles + removedFilesSize)   (sizeOfModifiedFilesOld + removedFilesSize)
https:github.com/commit/ActivitiActivitia70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb,17,15,1542,1540,0,0,17,15,0.01102464332,0.00974025974,0.01102464332,0.00974025974
https:github.com/commit/ActivitiActivitica7d0c3b33a0863bed04c77932b9ef6b1317f34e,2,1,67,66,0,0,2,1,0.02985074627,0.01515151515,0.02985074627,0.01515151515
https:github.com/commit/Alluxioalluxio0ba343846f21649e29ffc600f30a7f3e463fb24c,41,40,76,75,56,0,97,40,0.5394736842,0.5333333333,0.7348484848,0.5333333333
https:github.com/commit/Alluxioalluxio5b184ac783784c1ca4baf1437888c79bd9460763,4,28,244,268,0,0,4,28,0.01639344262,0.1044776119,0.01639344262,0.1044776119
https:github.com/commit/Alluxioalluxio9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825,25,14,84,73,0,0,25,14,0.2976190476,0.1917808219,0.2976190476,0.1917808219
https:github.com/commit/Alluxioalluxiob0938501f1014cf663e33b44ed5bb9b24d19a358,67,30,343,306,0,0,67,30,0.195335277,0.09803921569,0.195335277,0.09803921569
https:github.com/commit/AsyncHttpClientasync-http-clientf01d8610b9ceebc1de59d42f569b8af3efbe0a0f,112,38,549,475,0,0,112,38,0.204007286,0.08,0.204007286,0.08
https:github.com/commit/Athoucommafeed18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7,7,1,132,126,0,0,7,1,0.05303030303,0.007936507937,0.05303030303,0.007936507937
https:github.com/commit/Atmosphereatmosphere69c229b7611ff8c6a20ff2d4da917a68c1cde64a,39,19,531,511,0,0,39,19,0.07344632768,0.03718199609,0.07344632768,0.03718199609
https:github.com/commit/BroadleafCommerceBroadleafCommerce4ef35268bb96bb78b2dc698fa68e7ce763cde32e,10,10,1147,1147,0,0,10,10,0.008718395815,0.008718395815,0.008718395815,0.008718395815
https:github.com/commit/BroadleafCommerceBroadleafCommerce9687048f76519fc89b4151cbe2841bbba61a401d,62,27,791,756,0,0,62,27,0.0783817952,0.03571428571,0.0783817952,0.03571428571
https:github.com/commit/CellularPrivacyAndroid-IMSI-Catcher-Detectore235f884f2e0bc258da77b9c80492ad33386fa86,121,105,1648,1632,0,0,121,105,0.0734223301,0.06433823529,0.0734223301,0.06433823529
https:github.com/commit/CyanogenModandroid_frameworks_base15fd4f9caea01e53725086e290d3b35ec4bd4cd9,7,2,613,608,0,0,7,2,0.01141924959,0.003289473684,0.01141924959,0.003289473684
https:github.com/commit/CyanogenModandroid_frameworks_base4587c32ab8a1c8e2169e4f93491a8c927216a6ab,14,0,477,463,0,0,14,0,0.02935010482,0,0.02935010482,0
https:github.com/commit/CyanogenModandroid_frameworks_base658a918eebcbdeb4f920c2947ca8d0e79ad86d89,21,13,5314,5306,0,0,21,13,0.003951825367,0.00245005654,0.003951825367,0.00245005654
https:github.com/commit/CyanogenModandroid_frameworks_base76331570e68446c17e4ff5287f5b7b2b6b472895,22,2,3170,3150,119,0,141,2,0.006940063091,0.0006349206349,0.0428701733,0.0006349206349
https:github.com/commit/CyanogenModandroid_frameworks_base96a2c3410f3c71d3ab20857036422f1d64c3a6d3,28,20,3738,3730,0,0,28,20,0.007490636704,0.005361930295,0.007490636704,0.005361930295
https:github.com/commit/CyanogenModandroid_frameworks_basef166866cd68efa963534c5bc7fc9ca38e4aa2838,24,38,3777,3791,0,0,24,38,0.006354249404,0.01002374044,0.006354249404,0.01002374044
https:github.com/commit/CyanogenModandroid_frameworks_basef1b8ae1c44e6ba46118c2f66eae1725259acdccc,54,8,3144,3098,0,0,54,8,0.01717557252,0.002582311168,0.01717557252,0.002582311168
https:github.com/commit/FasterXMLjackson-databindcfe88fe3fbcc6b02ca55cee7b1f4ab13e249edea,48,11,1290,1253,147,0,195,11,0.03720930233,0.008778930567,0.1356993737,0.008778930567
https:github.com/commit/HdrHistogramHdrHistogram0e65ac4da70c6ca5c67bb8418e67db914218042f,20,15,357,352,0,0,20,15,0.05602240896,0.04261363636,0.05602240896,0.04261363636
https:github.com/commit/JetBrainsMPS61b5decd4a4e5e6bbdea99eb76f136ca10915b73,28,2,166,140,0,0,28,2,0.1686746988,0.01428571429,0.1686746988,0.01428571429
https:github.com/commit/JetBrainsMPSce4b0e22659c16ae83d421f9621fd3e922750764,14,9,1246,1241,0,0,14,9,0.01123595506,0.007252215955,0.01123595506,0.007252215955
https:github.com/commit/JetBrainsintellij-community04397f41107bd6de41b31d45a4e8e2ed65628bbe,4,9,162,167,0,0,4,9,0.02469135802,0.05389221557,0.02469135802,0.05389221557
https:github.com/commit/JetBrainsintellij-community138911ce88b05039242b8d1b2bb5b7a59008f5ee,9,2,4322,4315,0,0,9,2,0.002082369273,0.0004634994206,0.002082369273,0.0004634994206
https:github.com/commit/JetBrainsintellij-community33b0ac3a029845f9c20f7f5967c03b31b24f3b4b,29,26,2926,2923,0,0,29,26,0.00991114149,0.00889497092,0.00991114149,0.00889497092
https:github.com/commit/JetBrainsintellij-community61215911ef28ca783c5106d7c01e74cf3000a866,7,2,453,448,0,0,7,2,0.01545253863,0.004464285714,0.01545253863,0.004464285714
https:github.com/commit/JetBrainsintellij-community619a6012da868d0d42d9628460f2264effe9bdba,25,22,1813,1810,0,0,25,22,0.0137892995,0.01215469613,0.0137892995,0.01215469613
https:github.com/commit/JetBrainsintellij-community6905d569a1e39d0d7b1ec5ceee4f0bbe60b85947,2,2,281,281,104,207,106,209,0.007117437722,0.007117437722,0.2753246753,0.4282786885
https:github.com/commit/JetBrainsintellij-community6b90205e9f7bbd1570f600d3812fd3efa1a0597e,2,51,290,339,328,0,330,51,0.006896551724,0.1504424779,0.5339805825,0.1504424779
https:github.com/commit/JetBrainsintellij-community7dd55014f9840ce03867bb175cf37a4c151dc806,40,3,458,421,0,0,40,3,0.08733624454,0.007125890736,0.08733624454,0.007125890736
https:github.com/commit/JetBrainsintellij-community7ed3f273ab0caf0337c22f0b721d51829bb0c877,21,8,422,409,0,0,21,8,0.04976303318,0.0195599022,0.04976303318,0.0195599022
https:github.com/commit/JetBrainsintellij-community8d7a26edd1fedb9505b4f2b4fe57b2d2958b4dd9,11,21,1776,1786,0,0,11,21,0.006193693694,0.0117581187,0.006193693694,0.0117581187
