url,srcFileName,ignoredMappings,ignoredElements,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement,GTG_TP_raw_abstractMapping,GTG_TP_abstractMapping,GTG_FP_abstractMapping,GTG_FN_abstractMapping,GTG_TP_raw_programElement,GTG_TP_programElement,GTG_FP_programElement,GTG_FN_programElement,GTS_TP_raw_abstractMapping,GTS_TP_abstractMapping,GTS_FP_abstractMapping,GTS_FN_abstractMapping,GTS_TP_raw_programElement,GTS_TP_programElement,GTS_FP_programElement,GTS_FN_programElement,IJM_T_TP_raw_abstractMapping,IJM_T_TP_abstractMapping,IJM_T_FP_abstractMapping,IJM_T_FN_abstractMapping,IJM_T_TP_raw_programElement,IJM_T_TP_programElement,IJM_T_FP_programElement,IJM_T_FN_programElement,MTD_T_TP_raw_abstractMapping,MTD_T_TP_abstractMapping,MTD_T_FP_abstractMapping,MTD_T_FN_abstractMapping,MTD_T_TP_raw_programElement,MTD_T_TP_programElement,MTD_T_FP_programElement,MTD_T_FN_programElement,GT2_T_TP_raw_abstractMapping,GT2_T_TP_abstractMapping,GT2_T_FP_abstractMapping,GT2_T_FN_abstractMapping,GT2_T_TP_raw_programElement,GT2_T_TP_programElement,GT2_T_FP_programElement,GT2_T_FN_programElement,IAM_T_TP_raw_abstractMapping,IAM_T_TP_abstractMapping,IAM_T_FP_abstractMapping,IAM_T_FN_abstractMapping,IAM_T_TP_raw_programElement,IAM_T_TP_programElement,IAM_T_FP_programElement,IAM_T_FN_programElement,SPN_T_TP_raw_abstractMapping,SPN_T_TP_abstractMapping,SPN_T_FP_abstractMapping,SPN_T_FN_abstractMapping,SPN_T_TP_raw_programElement,SPN_T_TP_programElement,SPN_T_FP_programElement,SPN_T_FN_programElement,SPN_G_T_TP_raw_abstractMapping,SPN_G_T_TP_abstractMapping,SPN_G_T_FP_abstractMapping,SPN_G_T_FN_abstractMapping,SPN_G_T_TP_raw_programElement,SPN_G_T_TP_programElement,SPN_G_T_FP_programElement,SPN_G_T_FN_programElement,SPN_S_T_TP_raw_abstractMapping,SPN_S_T_TP_abstractMapping,SPN_S_T_FP_abstractMapping,SPN_S_T_FN_abstractMapping,SPN_S_T_TP_raw_programElement,SPN_S_T_TP_programElement,SPN_S_T_FP_programElement,SPN_S_T_FN_programElement
https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb,modules.activiti-engine.src.main.java.org.activiti.engine.impl.db.DbSqlSession,1380,144,1442,62,0,0,146,2,0,0,1414,34,16,28,145,1,1,1,1424,44,8,18,145,1,1,1,1423,43,7,19,146,2,0,0,1422,42,25,20,145,1,1,1,1415,35,6,27,145,1,1,1,1431,51,4,11,146,2,0,0,1424,44,10,18,145,1,1,1,1420,40,6,22,145,1,0,1,1424,44,9,18,145,1,1,1
https://github.com/Activiti/Activiti/commit/ca7d0c3b33a0863bed04c77932b9ef6b1317f34e,modules.activiti-engine.src.main.java.org.activiti.engine.impl.persistence.entity.UserEntityTest,60,12,61,1,0,0,12,0,0,0,61,1,0,0,12,0,0,0,61,1,0,0,12,0,0,0,61,1,0,0,12,0,0,0,61,1,0,0,12,0,0,0,61,1,0,0,12,0,0,0,61,1,0,0,12,0,0,0,60,0,0,1,12,0,0,0,60,0,0,1,12,0,0,0,60,0,0,1,12,0,0,0
https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c,servers.src.main.java.tachyon.worker.block.meta.BlockMeta,0,0,14,14,0,0,3,3,0,0,14,14,6,0,3,3,0,0,14,14,0,0,3,3,0,0,11,11,4,3,2,2,1,1,11,11,14,3,3,3,1,0,14,14,4,0,3,3,0,0,14,14,3,0,3,3,0,0,8,8,5,6,2,2,0,1,8,8,11,6,2,2,1,1,8,8,1,6,2,2,0,1
https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c,servers.src.main.java.tachyon.worker.block.meta.TempBlockMeta,0,0,3,3,0,0,1,1,0,0,3,3,0,0,1,1,0,0,3,3,0,0,1,1,0,0,3,3,0,0,1,1,0,0,3,3,0,0,1,1,0,0,3,3,0,0,1,1,0,0,3,3,0,0,1,1,0,0,3,3,0,0,1,1,0,0,3,3,0,0,1,1,0,0,3,3,0,0,1,1,0,0
https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763,servers.src.main.java.tachyon.worker.block.evictor.LRUEvictor,74,13,168,94,0,0,16,3,0,0,161,87,7,7,15,2,1,1,161,87,7,7,15,2,1,1,168,94,0,0,16,3,0,0,166,92,2,2,15,2,1,1,160,86,7,8,15,2,1,1,168,94,0,0,16,3,0,0,163,89,6,5,15,2,1,1,163,89,6,5,15,2,1,1,162,88,6,6,15,2,1,1
https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825,servers.src.main.java.tachyon.worker.block.allocator.MaxFreeAllocator,5,2,50,45,0,0,4,2,0,0,40,35,14,10,4,2,0,0,40,35,1,10,4,2,0,0,34,29,8,16,4,2,0,0,32,27,35,18,3,1,1,1,41,36,6,9,4,2,0,0,43,38,2,7,4,2,0,0,43,38,0,7,4,2,0,0,41,36,4,9,4,2,0,0,41,36,0,9,4,2,0,0
https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358,clients.unshaded.src.main.java.tachyon.client.RemoteBlockOutStream,43,12,176,133,0,2,23,11,0,0,177,134,1,1,23,11,0,0,169,126,2,9,21,9,0,2,171,128,1,7,23,11,0,0,178,135,5,0,23,11,0,0,171,128,1,7,23,11,0,0,175,132,1,3,23,11,0,0,169,126,12,9,23,11,0,0,174,131,3,4,22,10,1,1,168,125,3,10,22,10,1,1
https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358,integration-tests.src.test.java.tachyon.client.BlockOutStreamIntegrationTest,19,3,52,33,0,0,6,3,0,0,34,15,23,18,4,1,1,2,30,11,10,22,4,1,1,2,40,21,0,12,6,3,0,0,37,18,56,15,5,2,1,1,30,11,34,22,4,1,1,2,46,27,3,6,6,3,0,0,42,23,6,10,5,2,1,1,36,17,15,16,4,1,0,2,37,18,4,15,5,2,1,1
https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f,api.src.main.java.org.asynchttpclient.oauth.OAuthSignatureCalculator,155,32,234,79,0,3,38,6,0,0,221,66,15,16,37,5,1,1,217,62,19,20,37,5,1,1,226,71,6,11,38,6,0,0,225,70,30,12,38,6,0,0,220,65,13,17,37,5,1,1,235,80,1,2,38,6,0,0,227,72,11,10,37,5,1,1,223,68,11,14,37,5,1,1,223,68,10,14,37,5,1,1
https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f,api.src.test.java.org.asynchttpclient.oauth.OAuthSignatureCalculatorTest,41,13,94,53,0,0,16,3,0,0,94,53,0,0,16,3,0,0,94,53,0,0,16,3,0,0,94,53,0,0,16,3,0,0,94,53,0,0,16,3,0,0,94,53,0,0,16,3,0,0,94,53,0,0,16,3,0,0,94,53,0,0,16,3,0,0,94,53,0,0,16,3,0,0,94,53,0,0,16,3,0,0
