"ParentTypesPair","First","Second","URL","FileName"
"IfStatement:MethodDeclaration","Block [30141,30653]","Block [30816,31350]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb","modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSession.java"
"IfStatement:MethodDeclaration","Block [2109,2391]","Block [2935,3233]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"IfStatement:MethodDeclaration","Block [6450,7374]","Block [6011,7006]","https://github.com/CyanogenMod/android_frameworks_base/commit/f166866cd68efa963534c5bc7fc9ca38e4aa2838","core/java/android/text/format/DateFormat.java"
"MethodDeclaration:TryStatement","Block [5388,5943]","Block [5930,6655]","https://github.com/JetBrains/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877","python/educational/src/com/jetbrains/edu/stepic/EduStepicConnector.java"
"IfStatement:MethodDeclaration","Block [3781,4024]","Block [3692,4179]","https://github.com/JetBrains/intellij-community/commit/9fbf6b852bd9766060307aff960fb597d55e24d3","platform/util/src/com/intellij/util/io/CachingEnumerator.java"
"EnhancedForStatement:MethodDeclaration","Block [15912,16225]","Block [16877,17160]","https://github.com/JetBrains/intellij-community/commit/e1625136ba12907696ef4c6e922ce073293f3a2c","plugins/maven/src/main/java/org/jetbrains/idea/maven/project/MavenProject.java"
"MethodDeclaration:TryStatement","Block [6105,6493]","Block [5525,5904]","https://github.com/JetBrains/intellij-community/commit/e1f0dbc2f09541fc64ce88ee22d8f8f4648004fe","plugins/maven/src/main/java/org/jetbrains/idea/maven/utils/library/RepositoryAttachHandler.java"
"IfStatement:MethodDeclaration","Block [6451,7005]","Block [6290,6852]","https://github.com/JetBrains/intellij-plugins/commit/0df7cb00757fe0d4fac8d8b0d5fc46af95feb238","Dart/src/com/jetbrains/lang/dart/resolve/DartResolver.java"
"IfStatement:MethodDeclaration","Block [24069,24173]","Block [24273,24353]","https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0","Dart/src/com/jetbrains/lang/dart/analyzer/DartAnalysisServerService.java"
"IfStatement:MethodDeclaration","Block [34515,34611]","Block [35216,35290]","https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0","Dart/src/com/jetbrains/lang/dart/analyzer/DartAnalysisServerService.java"
"MethodDeclaration:TryStatement","Block [36922,37192]","Block [84869,85088]","https://github.com/Netflix/eureka/commit/f6212a7e474f812f31ddbce6d4f7a7a0d498b751","eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java"
"IfStatement:MethodDeclaration","Block [26331,27251]","Block [26405,27316]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
