"ParentTypesPair","First","Second","URL","FileName"
"SingleVariableDeclaration:WildcardType","SimpleType [30815,30831]","SimpleType [31055,31071]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb","modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSession.java"
"FieldDeclaration:TypeDeclaration","SimpleType [1076,1086]","SimpleType [970,983]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c","servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java"
"ClassInstanceCreation:MethodDeclaration","SimpleType [2500,2510]","SimpleType [3390,3401]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"SingleVariableDeclaration:VariableDeclarationStatement","SimpleType [798,804]","SimpleType [934,940]","https://github.com/Athou/commafeed/commit/18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7","src/main/java/com/commafeed/backend/favicon/DefaultFaviconFetcher.java"
"MethodDeclaration:VariableDeclarationStatement","ParameterizedType [4987,4998]","ParameterizedType [6114,6125]","https://github.com/JetBrains/intellij-community/commit/98ecc4cfd927f388645f6a6bc492c80868b1a11d","plugins/properties/src/com/intellij/lang/properties/create/CreateResourceBundleDialogComponent.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType [16076,16089]","SimpleType [16121,16128]","https://github.com/JetBrains/intellij-community/commit/e1625136ba12907696ef4c6e922ce073293f3a2c","plugins/maven/src/main/java/org/jetbrains/idea/maven/project/MavenProject.java"
"MethodDeclaration:VariableDeclarationStatement","SimpleType [6459,6466]","SimpleType [6882,6889]","https://github.com/JetBrains/intellij-plugins/commit/0df7cb00757fe0d4fac8d8b0d5fc46af95feb238","Dart/src/com/jetbrains/lang/dart/resolve/DartResolver.java"
"MethodDeclaration:VariableDeclarationStatement","SimpleType [42503,42509]","SimpleType [43356,43362]","https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0","Dart/src/com/jetbrains/lang/dart/analyzer/DartAnalysisServerService.java"
"FieldDeclaration:SingleVariableDeclaration","SimpleType [10957,10968]","SimpleType [3085,3096]","https://github.com/MovingBlocks/Terasology/commit/dbd2d5048ae5e30fec98ddd969b6c1e91183fb65","engine/src/main/java/org/terasology/world/chunks/remoteChunkProvider/RemoteChunkProvider.java"
"SingleVariableDeclaration:VariableDeclarationStatement","SimpleType [6311,6317]","SimpleType [9785,9791]","https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913","tests/frontend/org/voltdb/TestAdhocCreateDropIndex.java"
