"ParentTypesPair","First","Second","URL","FileName"
"SingleVariableDeclaration:VariableDeclarationStatement","ParameterizedType: List<PersistentObject> [30875,30897]","ParameterizedType: List<PersistentObject> [30766,30788]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb","modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSession.java"
"FieldDeclaration:TypeDeclaration","SimpleType: StorageDir [1076,1086]","SimpleType: BlockMetaBase [970,983]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c","servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java"
"MethodRefParameter:SingleVariableDeclaration","PrimitiveType: long [4955,4959]","PrimitiveType: long [5101,5105]","https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763","servers/src/main/java/tachyon/worker/block/evictor/LRUEvictor.java"
"SingleVariableDeclaration:VariableDeclarationStatement","PrimitiveType: long [1650,1654]","PrimitiveType: long [2919,2923]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"FieldDeclaration:VariableDeclarationStatement","PrimitiveType: long [3484,3488]","PrimitiveType: long [2039,2043]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","clients/unshaded/src/main/java/tachyon/client/RemoteBlockOutStream.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: TachyonURI [2500,2510]","SimpleType: BlockOutStream [3408,3422]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"InstanceofExpression:VariableDeclarationStatement","SimpleType: TachyonFile [2452,2463]","SimpleType: RemoteBlockOutStream [3209,3229]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodDeclaration:VariableDeclarationStatement","SimpleType: IOException [2268,2279]","SimpleType: BlockOutStream [2797,2811]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodDeclaration:SingleVariableDeclaration","SimpleType: String [6039,6045]","SimpleType: String [6221,6227]","https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f","api/src/main/java/org/asynchttpclient/oauth/OAuthSignatureCalculator.java"
"MethodDeclaration:SingleVariableDeclaration","SimpleType: EntityForm [11871,11881]","SimpleType: EntityForm [11416,11426]","https://github.com/BroadleafCommerce/BroadleafCommerce/commit/9687048f76519fc89b4151cbe2841bbba61a401d","admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/web/controller/AdminAbstractController.java"
"MethodDeclaration:SingleVariableDeclaration","SimpleType: EntityForm [11943,11953]","SimpleType: EntityForm [11333,11343]","https://github.com/BroadleafCommerce/BroadleafCommerce/commit/9687048f76519fc89b4151cbe2841bbba61a401d","admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/web/controller/AdminAbstractController.java"
"MethodDeclaration:SingleVariableDeclaration","PrimitiveType: boolean [52845,52852]","PrimitiveType: boolean [54669,54676]","https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba","platform/lang-impl/src/com/intellij/ide/util/gotoByName/ChooseByNameBase.java"
"FieldDeclaration:SingleVariableDeclaration","PrimitiveType: boolean [52582,52589]","PrimitiveType: boolean [52789,52796]","https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba","platform/lang-impl/src/com/intellij/ide/util/gotoByName/ChooseByNameBase.java"
"SingleVariableDeclaration:VariableDeclarationStatement","PrimitiveType: boolean [53002,53009]","PrimitiveType: boolean [53602,53609]","https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba","platform/lang-impl/src/com/intellij/ide/util/gotoByName/ChooseByNameBase.java"
