url,RMD,GTG,GTS,IJM,MTD,GT2
Chart/commit/1,88.25,73.75,45.25,58.25,618.75,116.50
Chart/commit/10,1.00,3.50,0.50,1.50,11.00,2.25
Chart/commit/11,17.00,37.00,7.75,15.75,59.75,16.25
Chart/commit/12,19.50,13.50,16.75,13.75,48.00,26.75
Chart/commit/13,23.75,175.00,9.25,17.25,81.75,18.25
Chart/commit/14,527.75,145.50,135.75,155.25,4461.50,256.00
Chart/commit/15,163.00,50.25,38.75,46.75,802.75,84.25
Chart/commit/16,16.25,138.50,7.25,11.50,55.25,15.00
Chart/commit/17,23.25,8.50,9.00,14.50,95.75,19.25
Chart/commit/18,20.75,18.00,9.00,14.25,57.00,19.00
Chart/commit/19,222.25,73.75,71.00,68.50,1424.25,132.00
Chart/commit/2,87.75,525.75,29.00,41.00,560.50,53.00
Chart/commit/20,2.00,64.50,1.00,2.00,3.00,2.00
Chart/commit/21,15.75,64.75,6.50,10.75,58.75,16.25
Chart/commit/22,12.00,43.25,5.50,8.75,29.25,9.50
Chart/commit/23,16.00,6.75,7.75,12.50,41.50,22.25
Chart/commit/24,2.50,82.00,1.50,2.75,4.00,3.00
Chart/commit/25,17.00,840.00,10.00,13.75,93.75,21.25
Chart/commit/26,40.00,822.50,15.00,21.00,157.75,35.00
Chart/commit/3,39.50,28.25,15.50,19.50,156.75,29.75
Chart/commit/4,576.00,392.75,65.75,92.75,3249.75,189.00
Chart/commit/5,15.25,31.50,7.50,10.00,45.00,13.25
Chart/commit/6,2.50,101.25,1.75,2.25,4.00,2.75
Chart/commit/7,12.50,113.00,6.00,9.25,31.25,11.25
Chart/commit/8,11.75,5.75,4.75,8.50,31.50,10.50
Chart/commit/9,22.50,26.50,8.75,14.25,92.50,18.50
Cli/commit/1,9.00,482.50,3.00,5.25,15.25,10.75
Cli/commit/10,7.75,3.75,3.25,6.00,15.25,6.25
Cli/commit/11,20.50,14.00,7.75,12.50,80.00,15.50
Cli/commit/12,3.00,307.50,2.25,2.75,4.00,2.25
Cli/commit/13,16.75,732.75,8.50,13.75,31.75,19.75
Cli/commit/14,14.50,28.25,5.00,9.00,32.00,13.25
Cli/commit/15,8.25,10.25,3.25,5.75,14.25,8.25
Cli/commit/16,28.25,579.25,12.75,20.50,58.75,29.50
Cli/commit/17,5.50,967.00,3.00,3.75,10.00,5.00
Cli/commit/18,6.25,1005.00,3.00,4.00,11.75,5.25
Cli/commit/19,5.50,883.00,3.00,3.50,9.50,4.50
Cli/commit/2,6.00,987.50,3.00,4.25,11.25,5.00
Cli/commit/20,8.50,1012.25,3.25,5.00,11.25,6.00
Cli/commit/21,23.00,111.25,9.50,16.00,52.50,24.50
Cli/commit/22,5.75,947.75,3.00,5.00,11.75,5.00
Cli/commit/23,27.00,38.00,11.75,14.25,95.75,20.50
Cli/commit/24,20.75,32.75,8.25,12.75,86.00,16.00
Cli/commit/25,19.50,30.50,8.00,12.00,81.25,15.25
Cli/commit/26,5.25,562.00,2.25,4.00,9.50,4.50
Cli/commit/27,3.50,126.75,2.00,3.00,4.00,3.00
Cli/commit/28,8.25,52.25,3.75,5.75,15.25,7.00
Cli/commit/29,2.00,38.00,1.00,1.25,2.00,2.00
Cli/commit/3,4.00,238.25,2.00,3.00,5.50,3.25
Cli/commit/30,25.25,119.75,10.50,15.25,57.25,18.75
Cli/commit/31,38.00,602.75,16.00,23.25,128.50,31.50
Cli/commit/32,22.25,24.75,8.50,13.00,94.50,16.75
