url,RMD,GTG,GTS,IJM,MTD,GT2
Chart/commit/1,110.00,146.00,54.00,790.00,887.00,137.00
Chart/commit/10,2.00,6.00,1.00,6.00,4.00,4.00
Chart/commit/11,19.00,44.00,12.00,35.00,157.00,24.00
Chart/commit/12,20.00,19.00,8.00,23.00,63.00,43.00
Chart/commit/13,36.00,174.00,15.00,67.00,160.00,37.00
Chart/commit/14,755.00,317.00,341.00,351.00,6892.00,487.00
Chart/commit/15,201.00,52.00,38.00,68.00,1085.00,107.00
Chart/commit/16,39.00,143.00,8.00,16.00,81.00,19.00
Chart/commit/17,30.00,12.00,12.00,22.00,131.00,23.00
Chart/commit/18,28.00,21.00,22.00,22.00,87.00,26.00
Chart/commit/19,361.00,56.00,59.00,74.00,2240.00,232.00
Chart/commit/2,120.00,599.00,38.00,63.00,758.00,66.00
Chart/commit/20,3.00,68.00,2.00,2.00,5.00,4.00
Chart/commit/21,20.00,83.00,9.00,13.00,78.00,19.00
Chart/commit/22,14.00,46.00,6.00,9.00,44.00,11.00
Chart/commit/23,15.00,6.00,6.00,10.00,49.00,19.00
Chart/commit/24,17.00,79.00,1.00,3.00,7.00,3.00
Chart/commit/25,20.00,889.00,13.00,15.00,162.00,25.00
Chart/commit/26,53.00,795.00,15.00,28.00,206.00,39.00
Chart/commit/3,60.00,25.00,13.00,21.00,196.00,55.00
Chart/commit/4,727.00,591.00,344.00,338.00,5446.00,222.00
Chart/commit/5,21.00,35.00,10.00,17.00,69.00,16.00
Chart/commit/6,5.00,105.00,2.00,3.00,10.00,4.00
Chart/commit/7,17.00,136.00,14.00,18.00,70.00,28.00
Chart/commit/8,13.00,7.00,6.00,25.00,69.00,14.00
Chart/commit/9,47.00,33.00,14.00,21.00,143.00,27.00
Cli/commit/1,16.00,591.00,4.00,15.00,25.00,13.00
Cli/commit/10,15.00,4.00,4.00,8.00,22.00,22.00
Cli/commit/11,26.00,18.00,11.00,38.00,120.00,20.00
Cli/commit/12,3.00,308.00,2.00,4.00,11.00,3.00
Cli/commit/13,18.00,717.00,9.00,31.00,41.00,22.00
Cli/commit/14,19.00,29.00,6.00,10.00,58.00,17.00
Cli/commit/15,15.00,12.00,3.00,6.00,18.00,9.00
Cli/commit/16,32.00,586.00,11.00,24.00,72.00,33.00
Cli/commit/17,7.00,985.00,4.00,5.00,12.00,6.00
Cli/commit/18,8.00,1017.00,3.00,5.00,14.00,6.00
Cli/commit/19,7.00,882.00,3.00,4.00,12.00,5.00
Cli/commit/2,7.00,999.00,3.00,4.00,13.00,5.00
Cli/commit/20,10.00,995.00,4.00,5.00,14.00,7.00
Cli/commit/21,32.00,119.00,11.00,20.00,76.00,27.00
Cli/commit/22,9.00,970.00,3.00,6.00,16.00,7.00
Cli/commit/23,25.00,37.00,9.00,13.00,108.00,17.00
Cli/commit/24,23.00,35.00,9.00,13.00,108.00,16.00
Cli/commit/25,24.00,33.00,9.00,15.00,111.00,16.00
Cli/commit/26,5.00,606.00,2.00,4.00,11.00,4.00
Cli/commit/27,3.00,119.00,2.00,2.00,4.00,2.00
Cli/commit/28,9.00,48.00,3.00,6.00,19.00,7.00
Cli/commit/29,3.00,37.00,1.00,2.00,2.00,3.00
Cli/commit/3,6.00,240.00,3.00,4.00,8.00,4.00
Cli/commit/30,29.00,118.00,11.00,17.00,69.00,21.00
Cli/commit/31,41.00,628.00,17.00,28.00,166.00,31.00
Cli/commit/32,25.00,25.00,9.00,14.00,127.00,18.00
Cli/commit/33,27.00,12.00,9.00,14.00,128.00,25.00
Cli/commit/34,25.00,623.00,8.00,12.00,47.00,17.00
Cli/commit/35,9.00,804.00,6.00,14.00,27.00,7.00
Cli/commit/36,24.00,1335.00,6.00,10.00,27.00,20.00
Cli/commit/37,35.00,14.00,7.00,13.00,100.00,18.00
Cli/commit/38,34.00,11.00,7.00,36.00,72.00,23.00
Cli/commit/39,9.00,536.00,4.00,12.00,10.00,5.00
Cli/commit/4,14.00,16.00,6.00,8.00,20.00,9.00
Cli/commit/40,7.00,567.00,9.00,15.00,11.00,6.00
Cli/commit/5,2.00,44.00,1.00,2.00,2.00,1.00
Cli/commit/7,8.00,302.00,2.00,14.00,9.00,6.00
Cli/commit/8,42.00,38.00,10.00,29.00,121.00,19.00
Cli/commit/9,12.00,19.00,5.00,8.00,24.00,13.00
Closure/commit/1,40.00,45.00,11.00,21.00,157.00,28.00
Closure/commit/10,359.00,34.00,33.00,74.00,1356.00,201.00
Closure/commit/100,9.00,365.00,9.00,7.00,11.00,13.00
Closure/commit/101,20.00,23.00,19.00,32.00,68.00,27.00
Closure/commit/102,26.00,26.00,12.00,33.00,109.00,38.00
Closure/commit/103,134.00,985.00,47.00,123.00,653.00,101.00
Closure/commit/104,31.00,28.00,6.00,21.00,58.00,14.00
Closure/commit/105,150.00,244.00,28.00,83.00,751.00,44.00
Closure/commit/106,97.00,233.00,23.00,31.00,282.00,60.00
Closure/commit/107,79.00,61.00,25.00,36.00,237.00,62.00
Closure/commit/108,62.00,1209.00,11.00,40.00,156.00,59.00
Closure/commit/109,191.00,55.00,58.00,173.00,945.00,61.00
Closure/commit/11,104.00,30.00,21.00,37.00,567.00,57.00
Closure/commit/110,317.00,564.00,83.00,99.00,1065.00,137.00
Closure/commit/111,24.00,704.00,4.00,9.00,23.00,28.00
Closure/commit/112,127.00,45.00,28.00,69.00,552.00,94.00
Closure/commit/113,60.00,103.00,16.00,28.00,269.00,28.00
Closure/commit/114,85.00,133.00,22.00,41.00,567.00,51.00
Closure/commit/115,101.00,63.00,9.00,19.00,162.00,33.00
Closure/commit/116,67.00,149.00,31.00,41.00,172.00,49.00
Closure/commit/117,60.00,92.00,20.00,43.00,223.00,69.00
Closure/commit/118,73.00,515.00,30.00,40.00,418.00,77.00
Closure/commit/119,74.00,281.00,17.00,65.00,382.00,69.00
Closure/commit/12,8.00,981.00,4.00,6.00,15.00,9.00
Closure/commit/120,23.00,169.00,8.00,13.00,76.00,25.00
Closure/commit/121,28.00,192.00,10.00,20.00,122.00,19.00
Closure/commit/122,84.00,25.00,19.00,30.00,388.00,92.00
Closure/commit/123,183.00,26.00,26.00,113.00,455.00,77.00
Closure/commit/124,8.00,664.00,3.00,5.00,10.00,14.00
