url,RMD,GTG,GTS,IJM,MTD,GT2
https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb,110.00,41.75,26.25,54.50,540.00,99.25
https://github.com/Activiti/Activiti/commit/ca7d0c3b33a0863bed04c77932b9ef6b1317f34e,1.75,22.75,1.00,2.75,2.75,2.25
https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c,6.50,6.00,2.00,4.75,5.00,4.25
https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763,11.50,690.75,4.75,8.00,35.00,18.00
https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825,6.50,137.75,1.50,3.75,7.00,4.50
https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358,12.75,599.25,6.25,11.00,49.75,25.25
https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f,23.25,672.00,8.50,14.75,51.00,22.00
https://github.com/Athou/commafeed/commit/18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7,8.50,217.75,2.00,4.00,6.25,5.50
https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a,20.25,10.50,7.50,57.25,49.25,27.50
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e,198.00,259.00,18.00,33.25,199.25,34.00
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/9687048f76519fc89b4151cbe2841bbba61a401d,40.00,62.25,10.75,75.25,136.75,53.50
https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86,76.00,184.25,16.50,28.75,326.25,36.75
https://github.com/CyanogenMod/android_frameworks_base/commit/15fd4f9caea01e53725086e290d3b35ec4bd4cd9,18.75,460.25,6.75,12.00,36.25,18.00
https://github.com/CyanogenMod/android_frameworks_base/commit/4587c32ab8a1c8e2169e4f93491a8c927216a6ab,22.00,10.50,4.25,9.75,34.00,11.75
https://github.com/CyanogenMod/android_frameworks_base/commit/658a918eebcbdeb4f920c2947ca8d0e79ad86d89,642.25,146.75,80.00,159.50,5110.50,737.75
https://github.com/CyanogenMod/android_frameworks_base/commit/76331570e68446c17e4ff5287f5b7b2b6b472895,164.75,49.75,37.50,69.25,784.50,146.75
https://github.com/CyanogenMod/android_frameworks_base/commit/96a2c3410f3c71d3ab20857036422f1d64c3a6d3,302.25,87.75,45.75,87.50,2243.50,134.50
https://github.com/CyanogenMod/android_frameworks_base/commit/f166866cd68efa963534c5bc7fc9ca38e4aa2838,691.75,161.75,39.50,80.50,1255.75,99.00
https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc,166.75,91.00,41.75,88.00,1001.50,103.00
https://github.com/FasterXML/jackson-databind/commit/cfe88fe3fbcc6b02ca55cee7b1f4ab13e249edea,53.75,34.00,15.75,24.75,268.25,32.75
https://github.com/HdrHistogram/HdrHistogram/commit/0e65ac4da70c6ca5c67bb8418e67db914218042f,17.75,1458.00,5.25,10.50,36.00,9.50
https://github.com/JetBrains/MPS/commit/61b5decd4a4e5e6bbdea99eb76f136ca10915b73,4.75,420.50,2.00,4.00,8.00,6.25
https://github.com/JetBrains/MPS/commit/ce4b0e22659c16ae83d421f9621fd3e922750764,51.50,534.25,14.25,24.50,172.25,123.25
https://github.com/JetBrains/intellij-community/commit/04397f41107bd6de41b31d45a4e8e2ed65628bbe,9.00,578.50,2.75,9.00,16.75,12.50
https://github.com/JetBrains/intellij-community/commit/138911ce88b05039242b8d1b2bb5b7a59008f5ee,382.50,70.25,67.00,119.75,3366.25,210.50
https://github.com/JetBrains/intellij-community/commit/33b0ac3a029845f9c20f7f5967c03b31b24f3b4b,255.00,681.00,45.25,92.75,2101.75,182.00
https://github.com/JetBrains/intellij-community/commit/61215911ef28ca783c5106d7c01e74cf3000a866,16.75,750.50,6.75,12.75,31.50,20.00
https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba,199.00,1747.75,28.50,49.75,902.75,154.75
https://github.com/JetBrains/intellij-community/commit/6905d569a1e39d0d7b1ec5ceee4f0bbe60b85947,191.25,646.75,4.50,6.75,15.25,9.50
https://github.com/JetBrains/intellij-community/commit/6b90205e9f7bbd1570f600d3812fd3efa1a0597e,38.25,19.75,5.00,76.00,95.00,35.75
https://github.com/JetBrains/intellij-community/commit/7dd55014f9840ce03867bb175cf37a4c151dc806,66.75,632.25,6.75,13.50,33.50,15.25
https://github.com/JetBrains/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877,25.75,20.00,12.50,11.50,65.00,34.00
https://github.com/JetBrains/intellij-community/commit/8d7a26edd1fedb9505b4f2b4fe57b2d2958b4dd9,121.50,862.00,25.75,42.50,810.75,133.00
https://github.com/JetBrains/intellij-community/commit/97811cf971f7ccf6a5fc5e90a491db2f58d49da1,27.75,10.00,8.50,20.50,80.50,38.00
https://github.com/JetBrains/intellij-community/commit/98ecc4cfd927f388645f6a6bc492c80868b1a11d,21.75,61.25,6.25,28.00,60.25,24.25
https://github.com/JetBrains/intellij-community/commit/9fbf6b852bd9766060307aff960fb597d55e24d3,5.25,498.25,2.75,4.75,11.00,4.25
https://github.com/JetBrains/intellij-community/commit/a9379ee529ed87e28c0736c3c6657dcd6a0680e4,186.25,132.00,30.25,56.50,903.75,65.50
https://github.com/JetBrains/intellij-community/commit/a97341973c3b683d62d1422e5404ed5c7ccf45f8,15.25,471.25,5.75,24.25,36.00,18.50
https://github.com/JetBrains/intellij-community/commit/af618666043f21b3db7e6a1be2aa225ae0f432b4,116.00,55.00,24.25,44.00,827.25,80.50
https://github.com/JetBrains/intellij-community/commit/d71154ed21e2d5c65bb0ddb000bcb04ca5735048,69.25,104.25,18.50,34.00,295.00,39.50
https://github.com/JetBrains/intellij-community/commit/e1625136ba12907696ef4c6e922ce073293f3a2c,75.00,77.50,15.50,31.00,339.50,44.25
https://github.com/JetBrains/intellij-community/commit/e1f0dbc2f09541fc64ce88ee22d8f8f4648004fe,54.25,81.75,6.75,11.00,68.75,58.50
https://github.com/JetBrains/intellij-plugins/commit/0df7cb00757fe0d4fac8d8b0d5fc46af95feb238,375.50,1078.25,21.25,48.00,446.25,110.50
https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0,136.00,633.50,23.00,38.50,493.25,122.50
https://github.com/JoanZapata/android-iconify/commit/eb500cca282e39d01a9882e1d0a83186da6d1a26,77.00,400.75,41.75,85.25,204.75,29.00
https://github.com/MovingBlocks/Terasology/commit/8f63cc5c8edb8e740026447bc4827f8e8e6c34b1,9.25,113.50,4.25,7.50,20.75,44.50
https://github.com/MovingBlocks/Terasology/commit/dbd2d5048ae5e30fec98ddd969b6c1e91183fb65,20.00,319.00,6.50,14.25,40.00,41.50
https://github.com/Netflix/eureka/commit/1cacbe2ad700275bc575234ff2b32ee0d6493817,116.75,34.00,23.50,37.50,652.75,92.75
https://github.com/Netflix/eureka/commit/f6212a7e474f812f31ddbce6d4f7a7a0d498b751,112.75,134.75,23.00,38.50,648.00,92.75
https://github.com/SonarSource/sonarqube/commit/0d9fcaa4415ee996e423a97cfe0d965586ca59a5,5.25,292.75,2.25,3.25,8.00,5.00
https://github.com/SonarSource/sonarqube/commit/7668c875dfa7240b1ec08eb60b42107bae1b4cd3,64.75,562.00,21.25,97.25,348.50,50.75
https://github.com/SonarSource/sonarqube/commit/c55a8c3761e9aae9f375d312c14b1bbb9ee9c0fa,60.25,1259.75,20.25,96.00,305.75,49.00
https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913,129.25,960.50,4.25,11.75,58.50,12.25
https://github.com/VoltDB/voltdb/commit/c9b2006381301c99b66c50c4b31f329caac06137,32.00,41.50,8.75,16.75,58.00,19.25
https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf,497.75,1888.50,17.25,117.00,474.25,129.50
https://github.com/VoltDB/voltdb/commit/d47e58f9bbce9a816378e8a7930c1de67a864c29,11.00,717.50,4.00,8.75,14.00,10.00
https://github.com/WhisperSystems/Signal-Android/commit/f0b2cc559026871c1b4d8e008666afb590553004,63.50,447.75,9.75,88.50,103.50,61.50
https://github.com/abarisain/dmix/commit/885771d57c97bd2dd48951e8aeaaa87ceb87532b,5.50,25.75,0.50,4.00,4.00,6.25
https://github.com/apache/camel/commit/ab1d1dd78fe53edb50c4ede447e4ac5a55ee2ac9,38.50,497.75,10.25,17.00,93.50,30.25
https://github.com/apache/camel/commit/cb0935e3af05b333b5c85a4fb3b1846836218f11,12.50,16.75,4.25,8.00,29.25,13.00
https://github.com/apache/cassandra/commit/1a2c1bcdc7267abec9b19d77726aedbb045d79a8,41.50,55.00,2.50,5.50,6.00,22.00
https://github.com/apache/cassandra/commit/2b0a8f6bdac621badabcb9921c077260f2470c26,35.75,43.00,8.00,15.75,63.25,28.00
https://github.com/apache/cassandra/commit/4fcd7d4d366d001cf5f1f7d926c608c902e3f0af,5.75,362.00,2.25,3.50,15.25,4.75
https://github.com/apache/commons-lang/commit/d9a2c69a9d1db6072e1d7b7ea4fcbd5c15d20b5d,208.50,51.50,50.75,80.75,1552.00,117.50
https://github.com/apache/drill/commit/711992f22ae6d6dfc43bdb4c01bf8f921d175b38,21.50,606.50,7.25,17.50,40.00,38.25
https://github.com/apache/giraph/commit/add1d4f07c925b8a9044cb3aa5bb4abdeaf49fc7,21.50,769.50,7.25,20.25,41.50,43.50
https://github.com/apache/hive/commit/240097b78b70172e1cf9bc37876a566ddfb9e115,34.25,14.25,10.75,18.25,124.50,40.25
https://github.com/apache/hive/commit/4ccc0c37aabbd90ecaa36fcc491e2270e7e9bea6,19.25,756.25,2.50,5.75,11.50,6.00
https://github.com/apache/hive/commit/5f78f9ef1e6c798849d34cc66721e6c1d9709b6f,247.00,470.25,49.00,606.25,1676.00,263.75
https://github.com/apache/hive/commit/999e0e3616525d77cf46c5865f9981b5a6b5609a,525.50,657.25,47.75,136.00,3320.00,751.00
https://github.com/apache/hive/commit/f664789737d516ac664462732664121acc111a1e,59.50,631.50,8.75,17.50,56.75,25.50
https://github.com/apache/pig/commit/7a1659c12d76b510809dea1dea1f5100bcf4cd60,34.25,250.00,9.50,23.75,123.75,176.75
https://github.com/apache/pig/commit/92dce401344a28ff966ad4cf3dd969a676852315,59.75,51.25,18.75,288.75,245.25,167.00
https://github.com/apereo/cas/commit/7fb0d1ce3b6583013e81ac05eb9afb15d20eab7f,8.00,207.00,2.00,5.00,7.75,7.00
https://github.com/assertj/assertj/commit/b36ab386559d04db114db8edd87c8d4cbf850c12,37.75,2594.25,26.75,21.25,5988.50,47.50
https://github.com/belaban/JGroups/commit/f1533756133dec84ce8218202585ac85904da7c9,18.75,436.00,3.75,12.75,14.50,15.75
https://github.com/bitcoinj/bitcoinj/commit/95bfa40630e34f6f369e0055d9f37f49bca60247,69.50,34.25,17.25,27.00,389.25,39.25
https://github.com/brettwooldridge/HikariCP/commit/cd8c4d578a609bdd6395d3a8c49bfd19ed700dea,2.00,53.00,1.00,1.25,2.75,2.00
https://github.com/brettwooldridge/HikariCP/commit/e19c6874431dc2c3046436c2ac249a0ab2ef3457,11.25,27.50,4.25,8.00,33.00,10.50
https://github.com/brianfrankcooper/YCSB/commit/0b024834549c53512ef18bce89f60ef9225d4819,60.25,794.50,17.25,32.50,185.00,37.00
https://github.com/bumptech/glide/commit/0d4b27952751de0caab01774048c3e0ec74824ce,11.50,257.00,5.50,19.25,32.00,23.00
https://github.com/checkstyle/checkstyle/commit/5a9b7249e3d092a78ac8e7d48aeeb62bf1c44e20,12.25,165.75,1.75,3.75,5.25,4.00
https://github.com/checkstyle/checkstyle/commit/c9c475a6c7a8cb728ba1c091b386db46f11a781f,9.75,31.00,3.00,5.25,16.00,8.50
https://github.com/crashub/crash/commit/2801269c7e47bd6e243612654a74cee809d20959,7.00,140.75,1.50,4.25,3.50,5.50
https://github.com/datastax/java-driver/commit/3a0603f8f778be3219a5a0f3a7845cda65f1e172,11.75,392.25,2.50,3.50,9.75,5.00
https://github.com/deeplearning4j/deeplearning4j/commit/3325f5ccd23f8016fa28a24f878b54f1918546ed,27.00,211.25,8.00,12.25,71.75,30.25
https://github.com/deeplearning4j/deeplearning4j/commit/3d080545362794ac5ab63a6cf1bdfb523a0d92a5,2.50,18.00,0.75,3.25,2.25,2.75
https://github.com/deeplearning4j/deeplearning4j/commit/c50064efb325b0c94cc62788b4c8935b7c39ac40,29.25,934.00,9.25,104.00,60.50,41.25
https://github.com/deeplearning4j/deeplearning4j/commit/d4992887291cc0a7eeda87ad547fa9e1e7fda41c,92.00,30.00,23.75,37.50,520.25,67.25
https://github.com/dreamhead/moco/commit/55ffa2f3353c5dc77fe6b790e5e045b76a07a772,7.00,418.50,3.25,29.00,12.25,13.75
https://github.com/dropwizard/metrics/commit/4c6ab3d77cc67c7a91155d884077520dcf1509c6,39.25,68.00,11.50,20.50,111.25,22.75
https://github.com/eclipse/jetty.project/commit/837d1a74bb7d694220644a2539c4440ce55462cf,96.25,137.25,24.00,45.00,463.25,116.50
https://github.com/fabric8io/fabric8/commit/8127b21a220ca677c4e59961d019e7753da7ea6e,103.50,462.25,18.50,29.50,434.75,66.75
https://github.com/fabric8io/fabric8/commit/9e61a71540da58c3208fd2c7737f793c3f81e5ae,38.50,1030.50,4.75,38.25,19.50,20.75
https://github.com/fabric8io/fabric8/commit/e068eb7f484f24dee285d29b8a910d9019592020,115.00,45.50,19.25,116.00,491.25,69.25
https://github.com/facebook/buck/commit/6c93f15f502f39dff99ecb01b56dcad7dddb0f0d,16.25,192.50,6.00,12.00,36.50,20.25
https://github.com/facebook/buck/commit/7e104c3ed4b80ec8e9b72356396f879d1067cc40,217.25,145.50,11.75,22.00,102.75,147.00
https://github.com/facebook/buck/commit/84b7b3974ae8171a4de2f804eb94fcd1d6cd6647,7.00,227.75,3.00,5.25,8.00,10.00
https://github.com/facebook/buck/commit/a1525ac9a0bb8f727167a8be94c81a3415128ef4,9.75,558.75,3.00,15.25,13.25,11.00
https://github.com/facebook/buck/commit/ecd0ad5ab99b8d14f28881cf4f49ec01f2221776,1884.25,218.25,8.75,20.25,109.00,37.75
https://github.com/facebook/buck/commit/f26d234e8d3458f34454583c22e3bd5f4b2a5da8,48.00,138.00,11.50,22.75,163.50,57.50
https://github.com/geoserver/geoserver/commit/07c26a3a1dd6fcc2494c2d755ee5a2753e0df87c,5.75,266.75,3.25,7.50,7.25,10.00
https://github.com/glyptodon/guacamole-client/commit/ce1f3d07976de31aed8f8189ec5e1a6453f4b580,11.75,837.50,5.25,48.50,15.75,27.75
https://github.com/glyptodon/guacamole-client/commit/ebb483320d971ff4d9e947309668f5da1fcd3d23,11.00,771.50,4.00,45.50,14.75,24.50
https://github.com/go-lang-plugin-org/go-lang-idea-plugin/commit/0b93231025f51c7ec62fd8588985c5dc807854e4,56.25,674.25,5.75,8.50,12.50,21.75
https://github.com/google/auto/commit/8fc60d81fe0e46e7e5c96e71d4a93fcadc6bde4f,125.00,495.50,5.00,8.75,35.25,22.75
