url,RMD,GTG,GTS,IJM,MTD,GT2
https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb,122.00,90.00,34.00,603.00,861.00,134.00
https://github.com/Activiti/Activiti/commit/ca7d0c3b33a0863bed04c77932b9ef6b1317f34e,2.00,37.00,1.00,5.00,7.00,4.00
https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c,12.00,11.00,2.00,16.00,18.00,14.00
https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763,45.00,1367.00,28.00,20.00,201.00,41.00
https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825,9.00,330.00,5.00,14.00,14.00,27.00
https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358,28.00,1183.00,8.00,48.00,177.00,59.00
https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f,119.00,1472.00,13.00,88.00,156.00,69.00
https://github.com/Athou/commafeed/commit/18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7,21.00,486.00,10.00,22.00,20.00,16.00
https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a,35.00,17.00,78.00,129.00,191.00,100.00
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e,368.00,599.00,50.00,85.00,441.00,70.00
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/9687048f76519fc89b4151cbe2841bbba61a401d,57.00,94.00,14.00,121.00,218.00,106.00
https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86,171.00,233.00,23.00,102.00,435.00,60.00
https://github.com/CyanogenMod/android_frameworks_base/commit/15fd4f9caea01e53725086e290d3b35ec4bd4cd9,22.00,491.00,8.00,18.00,52.00,82.00
https://github.com/CyanogenMod/android_frameworks_base/commit/4587c32ab8a1c8e2169e4f93491a8c927216a6ab,25.00,13.00,5.00,15.00,41.00,14.00
https://github.com/CyanogenMod/android_frameworks_base/commit/658a918eebcbdeb4f920c2947ca8d0e79ad86d89,587.00,192.00,117.00,363.00,5137.00,762.00
https://github.com/CyanogenMod/android_frameworks_base/commit/76331570e68446c17e4ff5287f5b7b2b6b472895,163.00,91.00,41.00,68.00,821.00,156.00
https://github.com/CyanogenMod/android_frameworks_base/commit/96a2c3410f3c71d3ab20857036422f1d64c3a6d3,250.00,77.00,45.00,90.00,2207.00,119.00
https://github.com/CyanogenMod/android_frameworks_base/commit/f166866cd68efa963534c5bc7fc9ca38e4aa2838,682.00,155.00,43.00,81.00,1185.00,104.00
https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc,158.00,79.00,39.00,73.00,887.00,95.00
https://github.com/FasterXML/jackson-databind/commit/cfe88fe3fbcc6b02ca55cee7b1f4ab13e249edea,57.00,34.00,16.00,28.00,272.00,33.00
https://github.com/HdrHistogram/HdrHistogram/commit/0e65ac4da70c6ca5c67bb8418e67db914218042f,20.00,1430.00,5.00,13.00,37.00,11.00
https://github.com/JetBrains/MPS/commit/61b5decd4a4e5e6bbdea99eb76f136ca10915b73,5.00,421.00,2.00,5.00,8.00,7.00
https://github.com/JetBrains/MPS/commit/ce4b0e22659c16ae83d421f9621fd3e922750764,52.00,534.00,16.00,29.00,178.00,127.00
https://github.com/JetBrains/intellij-community/commit/04397f41107bd6de41b31d45a4e8e2ed65628bbe,9.00,506.00,2.00,7.00,11.00,12.00
https://github.com/JetBrains/intellij-community/commit/138911ce88b05039242b8d1b2bb5b7a59008f5ee,377.00,75.00,68.00,140.00,3421.00,211.00
https://github.com/JetBrains/intellij-community/commit/33b0ac3a029845f9c20f7f5967c03b31b24f3b4b,243.00,657.00,43.00,94.00,2063.00,175.00
https://github.com/JetBrains/intellij-community/commit/61215911ef28ca783c5106d7c01e74cf3000a866,16.00,732.00,8.00,11.00,32.00,20.00
https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba,185.00,1775.00,29.00,50.00,893.00,151.00
https://github.com/JetBrains/intellij-community/commit/6905d569a1e39d0d7b1ec5ceee4f0bbe60b85947,217.00,664.00,3.00,8.00,16.00,10.00
https://github.com/JetBrains/intellij-community/commit/6b90205e9f7bbd1570f600d3812fd3efa1a0597e,41.00,20.00,6.00,77.00,111.00,37.00
https://github.com/JetBrains/intellij-community/commit/7dd55014f9840ce03867bb175cf37a4c151dc806,69.00,639.00,7.00,15.00,34.00,17.00
https://github.com/JetBrains/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877,28.00,37.00,7.00,12.00,69.00,37.00
https://github.com/JetBrains/intellij-community/commit/8d7a26edd1fedb9505b4f2b4fe57b2d2958b4dd9,118.00,862.00,27.00,50.00,805.00,134.00
https://github.com/JetBrains/intellij-community/commit/97811cf971f7ccf6a5fc5e90a491db2f58d49da1,27.00,10.00,8.00,22.00,83.00,38.00
https://github.com/JetBrains/intellij-community/commit/98ecc4cfd927f388645f6a6bc492c80868b1a11d,23.00,62.00,7.00,28.00,63.00,26.00
https://github.com/JetBrains/intellij-community/commit/9fbf6b852bd9766060307aff960fb597d55e24d3,7.00,509.00,3.00,5.00,12.00,5.00
https://github.com/JetBrains/intellij-community/commit/a9379ee529ed87e28c0736c3c6657dcd6a0680e4,184.00,135.00,32.00,59.00,897.00,78.00
https://github.com/JetBrains/intellij-community/commit/a97341973c3b683d62d1422e5404ed5c7ccf45f8,20.00,475.00,5.00,25.00,41.00,31.00
https://github.com/JetBrains/intellij-community/commit/af618666043f21b3db7e6a1be2aa225ae0f432b4,146.00,61.00,28.00,48.00,867.00,83.00
https://github.com/JetBrains/intellij-community/commit/d71154ed21e2d5c65bb0ddb000bcb04ca5735048,80.00,107.00,19.00,43.00,313.00,41.00
https://github.com/JetBrains/intellij-community/commit/e1625136ba12907696ef4c6e922ce073293f3a2c,79.00,80.00,16.00,30.00,360.00,45.00
https://github.com/JetBrains/intellij-community/commit/e1f0dbc2f09541fc64ce88ee22d8f8f4648004fe,54.00,84.00,7.00,13.00,78.00,60.00
https://github.com/JetBrains/intellij-plugins/commit/0df7cb00757fe0d4fac8d8b0d5fc46af95feb238,370.00,1089.00,22.00,50.00,455.00,118.00
https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0,135.00,630.00,25.00,42.00,533.00,131.00
https://github.com/JoanZapata/android-iconify/commit/eb500cca282e39d01a9882e1d0a83186da6d1a26,73.00,300.00,35.00,48.00,161.00,23.00
https://github.com/MovingBlocks/Terasology/commit/8f63cc5c8edb8e740026447bc4827f8e8e6c34b1,10.00,117.00,4.00,16.00,25.00,45.00
https://github.com/MovingBlocks/Terasology/commit/dbd2d5048ae5e30fec98ddd969b6c1e91183fb65,16.00,290.00,7.00,14.00,40.00,41.00
https://github.com/Netflix/eureka/commit/1cacbe2ad700275bc575234ff2b32ee0d6493817,117.00,36.00,25.00,43.00,674.00,103.00
https://github.com/Netflix/eureka/commit/f6212a7e474f812f31ddbce6d4f7a7a0d498b751,109.00,136.00,24.00,39.00,634.00,95.00
https://github.com/SonarSource/sonarqube/commit/0d9fcaa4415ee996e423a97cfe0d965586ca59a5,6.00,292.00,2.00,5.00,10.00,5.00
https://github.com/SonarSource/sonarqube/commit/7668c875dfa7240b1ec08eb60b42107bae1b4cd3,65.00,567.00,21.00,95.00,360.00,49.00
https://github.com/SonarSource/sonarqube/commit/c55a8c3761e9aae9f375d312c14b1bbb9ee9c0fa,60.00,1265.00,20.00,96.00,309.00,48.00
https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913,134.00,958.00,4.00,11.00,63.00,12.00
https://github.com/VoltDB/voltdb/commit/c9b2006381301c99b66c50c4b31f329caac06137,35.00,44.00,10.00,18.00,63.00,22.00
https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf,507.00,1872.00,19.00,119.00,508.00,126.00
https://github.com/VoltDB/voltdb/commit/d47e58f9bbce9a816378e8a7930c1de67a864c29,12.00,729.00,4.00,10.00,14.00,10.00
https://github.com/WhisperSystems/Signal-Android/commit/f0b2cc559026871c1b4d8e008666afb590553004,67.00,463.00,11.00,89.00,109.00,66.00
https://github.com/abarisain/dmix/commit/885771d57c97bd2dd48951e8aeaaa87ceb87532b,7.00,28.00,1.00,4.00,5.00,6.00
https://github.com/apache/camel/commit/ab1d1dd78fe53edb50c4ede447e4ac5a55ee2ac9,41.00,507.00,10.00,17.00,99.00,30.00
https://github.com/apache/camel/commit/cb0935e3af05b333b5c85a4fb3b1846836218f11,12.00,18.00,4.00,9.00,30.00,13.00
https://github.com/apache/cassandra/commit/1a2c1bcdc7267abec9b19d77726aedbb045d79a8,47.00,57.00,3.00,6.00,7.00,22.00
https://github.com/apache/cassandra/commit/2b0a8f6bdac621badabcb9921c077260f2470c26,39.00,46.00,9.00,17.00,66.00,29.00
https://github.com/apache/cassandra/commit/4fcd7d4d366d001cf5f1f7d926c608c902e3f0af,6.00,375.00,2.00,4.00,16.00,6.00
https://github.com/apache/commons-lang/commit/d9a2c69a9d1db6072e1d7b7ea4fcbd5c15d20b5d,177.00,47.00,44.00,66.00,1464.00,85.00
https://github.com/apache/drill/commit/711992f22ae6d6dfc43bdb4c01bf8f921d175b38,23.00,600.00,7.00,12.00,34.00,38.00
https://github.com/apache/giraph/commit/add1d4f07c925b8a9044cb3aa5bb4abdeaf49fc7,22.00,781.00,7.00,22.00,46.00,48.00
https://github.com/apache/hive/commit/240097b78b70172e1cf9bc37876a566ddfb9e115,35.00,15.00,10.00,21.00,128.00,41.00
https://github.com/apache/hive/commit/4ccc0c37aabbd90ecaa36fcc491e2270e7e9bea6,20.00,742.00,3.00,5.00,12.00,6.00
https://github.com/apache/hive/commit/5f78f9ef1e6c798849d34cc66721e6c1d9709b6f,199.00,452.00,48.00,594.00,1721.00,280.00
https://github.com/apache/hive/commit/999e0e3616525d77cf46c5865f9981b5a6b5609a,567.00,805.00,49.00,118.00,3380.00,720.00
https://github.com/apache/hive/commit/f664789737d516ac664462732664121acc111a1e,64.00,616.00,9.00,17.00,61.00,26.00
https://github.com/apache/pig/commit/7a1659c12d76b510809dea1dea1f5100bcf4cd60,37.00,247.00,11.00,28.00,128.00,177.00
https://github.com/apache/pig/commit/92dce401344a28ff966ad4cf3dd969a676852315,61.00,55.00,21.00,293.00,243.00,167.00
https://github.com/apereo/cas/commit/7fb0d1ce3b6583013e81ac05eb9afb15d20eab7f,9.00,210.00,4.00,5.00,9.00,7.00
https://github.com/assertj/assertj/commit/b36ab386559d04db114db8edd87c8d4cbf850c12,42.00,2366.00,24.00,22.00,6024.00,43.00
