url,RMD,GTG,GTS,IJM,MTD,GT2
Chart/commit/1,115.25,118.75,69.00,159.25,789.75,144.75
Chart/commit/10,0.75,3.75,1.25,1.25,2.75,3.75
Chart/commit/11,22.25,34.75,14.00,30.75,89.50,24.50
Chart/commit/12,22.50,17.25,7.50,26.00,59.00,29.25
Chart/commit/13,22.75,155.00,8.25,16.25,100.25,16.50
Chart/commit/14,691.00,136.75,104.50,165.25,5728.00,311.00
Chart/commit/15,190.25,52.50,33.50,47.25,1100.25,119.75
Chart/commit/16,21.50,151.00,8.25,16.75,87.25,22.75
Chart/commit/17,25.25,8.75,9.25,14.25,120.50,19.25
Chart/commit/18,25.25,21.00,11.50,16.75,74.50,23.00
Chart/commit/19,237.25,45.50,42.75,76.75,1891.50,133.50
Chart/commit/2,127.00,531.25,35.75,51.75,764.25,64.50
Chart/commit/20,2.50,62.50,1.25,2.00,4.00,2.25
Chart/commit/21,17.00,62.00,7.00,10.75,72.25,16.25
Chart/commit/22,15.75,46.25,8.75,11.00,42.25,11.25
Chart/commit/23,21.00,8.00,11.25,17.75,69.50,26.25
Chart/commit/24,5.00,88.75,2.75,3.25,3.75,3.00
Chart/commit/25,22.50,882.75,10.75,18.00,131.50,30.75
Chart/commit/26,57.25,814.00,13.75,26.25,227.50,40.75
Chart/commit/3,32.75,23.50,11.00,17.50,176.00,24.00
Chart/commit/4,621.75,389.75,65.75,102.50,4638.25,195.50
Chart/commit/5,16.25,30.50,7.00,10.00,56.25,13.50
Chart/commit/6,3.00,106.00,1.50,2.75,4.25,2.75
Chart/commit/7,15.25,110.00,6.50,10.50,40.50,12.50
Chart/commit/8,15.25,7.75,7.00,10.00,45.25,12.50
Chart/commit/9,24.75,26.25,9.50,14.25,119.75,19.50
Cli/commit/1,10.25,479.75,3.50,5.50,18.50,11.25
Cli/commit/10,9.00,4.00,3.50,7.00,19.75,7.50
Cli/commit/11,21.75,14.00,7.75,12.75,101.75,15.75
Cli/commit/12,3.00,279.00,1.50,3.00,4.75,2.75
Cli/commit/13,15.75,687.00,7.75,14.00,38.50,17.50
Cli/commit/14,17.25,27.75,5.50,9.50,39.75,15.00
Cli/commit/15,11.75,11.50,4.00,7.25,20.25,11.00
Cli/commit/16,29.25,555.00,11.50,19.50,69.00,28.00
Cli/commit/17,6.00,963.50,3.75,4.25,12.50,5.25
Cli/commit/18,7.75,1000.50,4.00,5.75,17.00,6.75
Cli/commit/19,10.00,1087.75,4.75,6.75,19.00,6.25
Cli/commit/2,9.00,1057.00,3.00,5.00,12.75,8.00
Cli/commit/20,9.50,1127.25,3.75,5.75,14.25,6.75
Cli/commit/21,37.25,123.00,15.00,28.00,87.50,35.00
Cli/commit/22,9.00,983.75,3.25,6.00,23.00,6.25
Cli/commit/23,29.50,38.50,12.25,15.50,122.00,21.25
Cli/commit/24,34.50,40.00,11.00,19.75,145.25,19.50
Cli/commit/25,27.25,45.75,12.25,14.50,109.75,18.25
Cli/commit/26,5.75,575.00,3.25,4.00,11.75,4.75
Cli/commit/27,3.00,128.00,1.75,2.75,4.50,3.00
Cli/commit/28,11.00,59.00,4.00,7.25,26.50,13.25
Cli/commit/29,3.75,37.75,1.00,1.50,2.50,2.00
Cli/commit/3,5.25,265.00,2.50,7.00,7.00,7.00
Cli/commit/30,39.50,126.25,14.75,19.25,85.00,23.00
Cli/commit/31,54.50,623.75,21.00,31.00,182.25,37.75
Cli/commit/32,39.00,38.75,16.25,21.25,166.00,29.00
Cli/commit/33,29.00,16.25,14.75,21.75,145.25,19.50
Cli/commit/34,19.00,682.50,18.00,20.50,67.75,20.25
Cli/commit/35,8.50,876.50,5.00,6.00,16.75,9.25
Cli/commit/36,11.50,922.00,5.25,8.00,20.75,10.00
Cli/commit/37,24.25,8.50,9.50,13.75,75.00,14.75
Cli/commit/38,29.25,11.75,11.25,13.25,82.00,22.75
Cli/commit/39,5.50,411.75,2.50,4.25,8.75,5.00
Cli/commit/4,9.75,9.75,3.75,5.25,18.00,7.00
Cli/commit/40,7.00,535.25,5.00,8.75,11.25,5.75
Cli/commit/5,1.75,49.75,1.00,2.00,2.00,1.25
Cli/commit/7,7.50,326.50,3.00,13.75,13.00,11.50
Cli/commit/8,21.25,29.25,8.75,13.50,105.25,17.00
Cli/commit/9,10.50,15.00,4.50,6.00,21.00,8.00
Closure/commit/1,46.75,38.75,13.50,19.75,176.50,30.00
Closure/commit/10,229.75,61.75,40.00,100.00,1452.50,109.75
Closure/commit/100,4.25,253.50,2.00,3.50,6.00,3.50
Closure/commit/101,12.75,12.25,5.25,8.50,41.50,13.25
Closure/commit/102,26.50,16.00,8.50,13.00,61.50,19.50
Closure/commit/103,112.75,530.25,33.25,58.75,459.50,92.50
Closure/commit/104,27.25,32.75,11.00,16.25,65.00,19.25
Closure/commit/105,153.50,295.25,39.75,65.50,788.25,58.75
Closure/commit/106,87.00,256.75,29.50,39.75,297.25,55.75
Closure/commit/107,31.25,46.00,10.50,16.75,155.75,31.50
Closure/commit/108,28.25,922.75,9.75,25.00,119.25,23.50
Closure/commit/109,174.00,27.25,26.25,52.25,796.25,56.50
Closure/commit/11,110.25,36.75,26.25,45.00,634.00,61.25
Closure/commit/110,179.50,618.75,57.50,77.75,863.75,76.50
Closure/commit/111,14.50,655.25,4.00,7.00,23.25,14.25
Closure/commit/112,104.25,52.00,31.50,58.25,568.75,89.50
Closure/commit/113,70.25,83.00,14.75,22.25,286.00,36.50
Closure/commit/114,102.00,154.50,22.00,37.75,600.50,70.25
Closure/commit/115,50.50,87.00,11.75,32.50,151.25,33.75
Closure/commit/116,38.00,65.50,10.00,19.50,114.25,20.25
Closure/commit/117,41.75,59.25,11.00,20.25,155.75,38.50
Closure/commit/118,76.00,377.50,17.50,40.00,317.00,58.25
Closure/commit/119,88.75,263.75,23.75,54.75,417.50,62.50
Closure/commit/12,12.50,1055.25,5.75,6.25,23.50,10.75
Closure/commit/120,30.25,203.00,10.75,24.25,98.50,30.50
Closure/commit/121,45.00,248.00,15.75,35.00,160.25,27.50
Closure/commit/122,91.25,25.50,26.25,40.75,473.75,115.75
Closure/commit/123,132.75,30.75,28.00,74.50,396.00,65.75
Closure/commit/124,10.50,582.00,2.75,5.25,9.25,5.25
Closure/commit/125,183.25,57.25,41.25,83.75,785.00,96.25
Closure/commit/126,11.75,1456.50,6.50,10.25,32.50,10.75
Closure/commit/127,20.75,1006.75,5.00,9.75,30.75,11.25
Closure/commit/128,149.75,24.75,28.25,44.75,327.25,43.50
Closure/commit/129,5.75,580.50,3.75,6.50,11.00,4.50
Closure/commit/13,6.00,367.00,3.25,6.75,8.00,4.50
Closure/commit/130,50.00,53.50,18.75,24.75,196.00,48.75
Closure/commit/131,55.50,14.25,4.50,14.50,34.75,10.75
Closure/commit/132,138.25,184.75,31.50,50.25,564.50,58.00
Closure/commit/133,289.75,28.50,30.25,68.25,848.50,93.50
Closure/commit/134,121.50,242.00,30.00,62.50,571.00,167.00
Closure/commit/135,44.50,29.75,14.75,34.75,153.00,40.00
Closure/commit/136,34.00,1080.50,11.75,28.50,74.00,27.25
Closure/commit/137,248.00,128.75,47.75,112.50,713.50,177.25
Closure/commit/138,127.50,1434.50,25.25,48.75,356.75,92.25
Closure/commit/139,34.75,754.00,16.25,28.00,119.00,33.75
Closure/commit/14,58.25,142.25,16.25,25.75,188.50,31.50
Closure/commit/140,86.25,35.00,22.25,48.50,444.25,46.25
Closure/commit/141,128.75,57.25,37.25,60.25,525.00,59.75
Closure/commit/142,158.50,162.75,29.75,54.75,580.00,70.50
Closure/commit/143,58.50,396.00,16.75,29.50,219.50,35.00
Closure/commit/144,133.75,617.75,42.00,81.75,692.00,142.75
Closure/commit/145,96.75,19.00,21.75,28.00,188.75,32.50
Closure/commit/146,28.25,18.25,9.75,12.75,111.50,20.75
Closure/commit/147,21.00,560.25,8.50,13.25,46.50,18.50
Closure/commit/148,264.50,249.75,22.75,41.25,274.50,49.75
Closure/commit/149,237.50,157.25,66.00,109.75,970.25,124.00
Closure/commit/15,24.25,29.25,5.75,8.75,47.50,19.75
Closure/commit/150,71.25,79.25,20.50,31.25,452.00,100.25
Closure/commit/151,17.00,822.25,9.00,21.50,74.25,20.25
Closure/commit/152,34.75,45.75,10.75,19.00,128.00,22.00
Closure/commit/154,151.25,306.25,38.25,69.50,668.75,92.00
Closure/commit/155,138.75,266.25,26.00,49.50,255.00,64.75
Closure/commit/156,125.75,136.25,12.75,18.25,133.00,27.25
Closure/commit/157,268.50,231.75,55.75,112.75,889.75,178.75
Closure/commit/158,366.50,758.50,36.00,82.25,902.50,85.00
Closure/commit/159,43.50,15.75,11.50,17.00,162.00,24.75
Closure/commit/16,20.00,32.25,7.25,14.25,65.75,17.00
Closure/commit/160,123.00,54.25,25.50,47.75,602.75,68.00
Closure/commit/161,83.50,40.50,15.75,39.50,313.50,38.00
Closure/commit/164,7.75,727.75,3.50,6.25,12.50,5.75
Closure/commit/165,113.50,1196.25,39.25,54.50,531.00,84.00
Closure/commit/166,14.50,6.50,6.00,13.75,43.50,12.00
Closure/commit/167,77.00,120.25,27.75,35.50,252.25,52.50
