"ParentTypesPair","First","Second","URL","FileName"
"MethodDeclaration:TryStatement","Block [5388,5943]","Block [5930,6655]","https://github.com/JetBrains/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877","python/educational/src/com/jetbrains/edu/stepic/EduStepicConnector.java"
"IfStatement:MethodDeclaration","Block [42984,43016]","Block [43468,43753]","https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0","Dart/src/com/jetbrains/lang/dart/analyzer/DartAnalysisServerService.java"
"IfStatement:MethodDeclaration","Block [84951,85082]","Block [84869,84937]","https://github.com/Netflix/eureka/commit/1cacbe2ad700275bc575234ff2b32ee0d6493817","eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java"
"MethodDeclaration:TryStatement","Block [29173,29521]","Block [29518,29829]","https://github.com/apache/commons-lang/commit/d9a2c69a9d1db6072e1d7b7ea4fcbd5c15d20b5d","src/test/java/org/apache/commons/lang3/time/DateUtilsTest.java"
"IfStatement:MethodDeclaration","Block [25146,25292]","Block [25048,25126]","https://github.com/apache/pig/commit/92dce401344a28ff966ad4cf3dd969a676852315","src/org/apache/pig/impl/util/Utils.java"
"IfStatement:MethodDeclaration","Block [2487,2608]","Block [2609,2800]","https://github.com/belaban/JGroups/commit/f1533756133dec84ce8218202585ac85904da7c9","src/org/jgroups/auth/FixedMembershipToken.java"
"IfStatement:MethodDeclaration","Block [2183,2277]","Block [2303,2533]","https://github.com/belaban/JGroups/commit/f1533756133dec84ce8218202585ac85904da7c9","src/org/jgroups/auth/FixedMembershipToken.java"
"IfStatement:MethodDeclaration","Block [6255,6333]","Block [6608,7030]","https://github.com/checkstyle/checkstyle/commit/5a9b7249e3d092a78ac8e7d48aeeb62bf1c44e20","src/main/java/com/puppycrawl/tools/checkstyle/checks/coding/RequireThisCheck.java"
"CatchClause:MethodDeclaration","Block [5964,6219]","Block [6133,6292]","https://github.com/dropwizard/metrics/commit/4c6ab3d77cc67c7a91155d884077520dcf1509c6","metrics-graphite/src/main/java/com/codahale/metrics/graphite/GraphiteReporter.java"
"MethodDeclaration:TryStatement","Block [3121,5274]","Block [3620,5805]","https://github.com/fabric8io/fabric8/commit/9e61a71540da58c3208fd2c7737f793c3f81e5ae","fabric8-maven-plugin/src/main/java/io/fabric8/maven/CreateGogsWebhook.java"
"IfStatement:MethodDeclaration","Block [7713,7778]","Block [7303,7690]","https://github.com/facebook/buck/commit/7e104c3ed4b80ec8e9b72356396f879d1067cc40","src/com/facebook/buck/maven/Resolver.java"
"EnhancedForStatement:MethodDeclaration","Block [7580,8057]","Block [8299,8608]","https://github.com/facebook/buck/commit/7e104c3ed4b80ec8e9b72356396f879d1067cc40","src/com/facebook/buck/maven/Resolver.java"
"EnhancedForStatement:MethodDeclaration","Block [5514,8063]","Block [8719,8935]","https://github.com/facebook/buck/commit/7e104c3ed4b80ec8e9b72356396f879d1067cc40","src/com/facebook/buck/maven/Resolver.java"
"IfStatement:MethodDeclaration","Block [10323,10353]","Block [12245,12382]","https://github.com/google/guava/commit/5bab9e837cf273250aa26702204f139fdcfd9e7a","guava/src/com/google/common/collect/HashBiMap.java"
"IfStatement:MethodDeclaration","Block [5558,5615]","Block [6075,6241]","https://github.com/gradle/gradle/commit/3a7ccf5a252077332b9505acb22f190745f726f7","subprojects/platform-play/src/main/java/org/gradle/play/tasks/PlayRun.java"
"EnhancedForStatement:MethodDeclaration","Block [5190,5559]","Block [5167,5752]","https://github.com/hibernate/hibernate-orm/commit/2b89553db5081fe4e55b7b34d636d0ea2acf71c5","hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/annotations/AnnotationMetadataSourceProcessorImpl.java"
"EnhancedForStatement:MethodDeclaration","Block [4719,5126]","Block [2661,5051]","https://github.com/hibernate/hibernate-orm/commit/2b89553db5081fe4e55b7b34d636d0ea2acf71c5","hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/annotations/AnnotationMetadataSourceProcessorImpl.java"
"IfStatement:MethodDeclaration","Block [54481,54524]","Block [54517,54566]","https://github.com/infinispan/infinispan/commit/03573a655bcbb77f7a76d8e22d851cc22796b4f8","core/src/main/java/org/infinispan/notifications/cachelistener/CacheNotifierImpl.java"
"EnhancedForStatement:MethodDeclaration","Block [6889,7020]","Block [6868,7037]","https://github.com/junit-team/junit5/commit/6b575f2ee5f02288a774ff0a85ce3a3e3cb6946f","junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/ClassTestDescriptor.java"
