"ParentTypesPair","First","Second","URL","FileName"
"METHOD_INVOCATION_ARGUMENTS:METHOD_INVOCATION_RECEIVER","SimpleName: persistentObjectsToInsert [31033,31058]","SimpleName: persistentObject [31144,31160]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb","modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSession.java"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: get [31059,31062]","SimpleName: persistentObjectClass [31162,31183]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb","modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSession.java"
"MethodDeclaration:ReturnStatement","SimpleName: mBlockId [1340,1348]","SimpleName: BlockMeta [1104,1113]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c","servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java"
"MemberRef:MethodRef","SimpleName: freeSpace [4653,4662]","SimpleName: freeSpaceWithView [4653,4670]","https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763","servers/src/main/java/tachyon/worker/block/evictor/LRUEvictor.java"
"MemberRef:MethodRef","SimpleName: freeSpace [4945,4954]","SimpleName: freeSpaceWithView [4906,4923]","https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763","servers/src/main/java/tachyon/worker/block/evictor/LRUEvictor.java"
"ClassInstanceCreation:METHOD_INVOCATION_RECEIVER","SimpleName: dir [1935,1938]","SimpleName: userId [1988,1994]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"Assignment:ClassInstanceCreation","SimpleName: candidateDir [1972,1984]","SimpleName: blockSize [2005,2014]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: getStorageDirs [1831,1845]","SimpleName: blockSize [1905,1914]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"Assignment:ClassInstanceCreation","SimpleName: dir [1987,1990]","SimpleName: candidateDir [2016,2028]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"Assignment:SimpleType","SimpleName: StorageDir [1809,1819]","SimpleName: candidateDir [1862,1874]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"MethodInvocation:SingleVariableDeclaration","SimpleName: dir [1820,1823]","SimpleName: getCandidateDirInTier [1877,1898]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"InfixExpression:METHOD_INVOCATION_RECEIVER","SimpleName: dir [1865,1868]","SimpleName: candidateDir [1929,1941]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"ClassInstanceCreation:MethodInvocation","SimpleName: getAvailableBytes [1939,1956]","SimpleName: blockId [1996,2003]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"Assignment:SimpleType","SimpleName: maxFreeBytes [1920,1932]","SimpleName: TempBlockMeta [1974,1987]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"MethodDeclaration:SingleVariableDeclaration","SimpleName: disableLocalWriteTest [1678,1699]","SimpleName: isLocalWrite [1975,1987]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodInvocation:VariableDeclarationFragment","SimpleName: p [9498,9499]","SimpleName: add [10064,10067]","https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f","api/src/main/java/org/asynchttpclient/oauth/OAuthSignatureCalculator.java"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: Arrays [5272,5278]","SimpleName: getInheritedPrivateMethod [5382,5407]","https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a","modules/cpr/src/main/java/org/atmosphere/inject/InjectableObjectFactory.java"
"ClassInstanceCreation:MethodInvocation","SimpleName: updateSize [44104,44114]","SimpleName: i [44473,44474]","https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc","core/java/com/android/internal/widget/LockPatternUtils.java"
"Assignment:SuperMethodInvocation","SimpleName: rename [2844,2850]","SimpleName: newName [2838,2845]","https://github.com/JetBrains/MPS/commit/ce4b0e22659c16ae83d421f9621fd3e922750764","core/project/source/jetbrains/mps/smodel/Generator.java"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: testFolders [5699,5710]","SimpleName: getInstance [5491,5502]","https://github.com/JetBrains/intellij-community/commit/04397f41107bd6de41b31d45a4e8e2ed65628bbe","java/java-impl/src/com/intellij/testIntegration/createTest/CreateTestAction.java"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: checkForTestRoots [5673,5690]","SimpleName: testFolders [5454,5465]","https://github.com/JetBrains/intellij-community/commit/04397f41107bd6de41b31d45a4e8e2ed65628bbe","java/java-impl/src/com/intellij/testIntegration/createTest/CreateTestAction.java"
"METHOD_INVOCATION_ARGUMENTS:METHOD_INVOCATION_RECEIVER","SimpleName: module [5691,5697]","SimpleName: ModuleRootManager [5473,5490]","https://github.com/JetBrains/intellij-community/commit/04397f41107bd6de41b31d45a4e8e2ed65628bbe","java/java-impl/src/com/intellij/testIntegration/createTest/CreateTestAction.java"
"MethodInvocation:VariableDeclarationFragment","SimpleName: isCanceled [53906,53916]","SimpleName: lowerCased [53685,53695]","https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba","platform/lang-impl/src/com/intellij/ide/util/gotoByName/ChooseByNameBase.java"
"METHOD_INVOCATION_RECEIVER:SimpleType","SimpleName: myProgress [53895,53905]","SimpleName: String [53678,53684]","https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba","platform/lang-impl/src/com/intellij/ide/util/gotoByName/ChooseByNameBase.java"
"MethodDeclaration:SingleVariableDeclaration","SimpleName: getCourses [5365,5375]","SimpleName: result [5887,5893]","https://github.com/JetBrains/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877","python/educational/src/com/jetbrains/edu/stepic/EduStepicConnector.java"
"ConditionalExpression:MethodInvocation","SimpleName: getVirtualFile [42778,42792]","SimpleName: virtualFile [42561,42572]","https://github.com/JetBrains/intellij-community/commit/8d7a26edd1fedb9505b4f2b4fe57b2d2958b4dd9","platform/vcs-impl/src/com/intellij/openapi/vcs/history/FileHistoryPanelImpl.java"
"ArrayInitializer:MethodInvocation","SimpleName: getVirtualFile [33528,33542]","SimpleName: virtualFile [33573,33584]","https://github.com/JetBrains/intellij-community/commit/8d7a26edd1fedb9505b4f2b4fe57b2d2958b4dd9","platform/vcs-impl/src/com/intellij/openapi/vcs/history/FileHistoryPanelImpl.java"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: getVirtualFile [42733,42747]","SimpleName: virtualFile [42530,42541]","https://github.com/JetBrains/intellij-community/commit/8d7a26edd1fedb9505b4f2b4fe57b2d2958b4dd9","platform/vcs-impl/src/com/intellij/openapi/vcs/history/FileHistoryPanelImpl.java"
"MethodInvocation:SimpleType","SimpleName: IOException [4318,4329]","SimpleName: clear [4209,4214]","https://github.com/JetBrains/intellij-community/commit/9fbf6b852bd9766060307aff960fb597d55e24d3","platform/util/src/com/intellij/util/io/CachingEnumerator.java"
"SimpleType:SingleVariableDeclaration","SimpleName: String [16090,16096]","SimpleName: e [16129,16130]","https://github.com/JetBrains/intellij-community/commit/e1625136ba12907696ef4c6e922ce073293f3a2c","plugins/maven/src/main/java/org/jetbrains/idea/maven/project/MavenProject.java"
"MethodInvocation:VariableDeclarationFragment","SimpleName: event [84983,84988]","SimpleName: fireEvent [84876,84885]","https://github.com/Netflix/eureka/commit/1cacbe2ad700275bc575234ff2b32ee0d6493817","eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: builder [2287,2294]","SimpleName: createSchema [2069,2081]","https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913","tests/frontend/org/voltdb/TestAdhocCreateDropIndex.java"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: compile [2295,2302]","SimpleName: config [2082,2088]","https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913","tests/frontend/org/voltdb/TestAdhocCreateDropIndex.java"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: compile [7019,7026]","SimpleName: config [6304,6310]","https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913","tests/frontend/org/voltdb/TestAdhocCreateDropIndex.java"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: msg [19546,19549]","SimpleName: exceptionFor [20570,20582]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: warn [19535,19539]","SimpleName: ErrorMapping [20557,20569]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: m_leader [28662,28670]","SimpleName: resetLeader [30774,30785]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: getLastOffset [24504,24517]","SimpleName: lastOffset [27978,27988]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"ClassInstanceCreation:MethodInvocation","SimpleName: backoffSleep [19602,19614]","SimpleName: m_topicAndPartition [20614,20633]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"METHOD_INVOCATION_ARGUMENTS:SimpleType","SimpleName: e [19744,19745]","SimpleName: KafkaStreamImporterException [20758,20786]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"ClassInstanceCreation:MethodInvocation","SimpleName: requestInfo [20677,20688]","SimpleName: singletonMap [21690,21702]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
