"ParentTypesPair","First","Second","URL","FileName"
"MethodInvocation:MethodInvocation","SimpleName: dir [2313,2316]","SimpleName: tier [2250,2254]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"MethodInvocation:MethodInvocation","SimpleName: m_currentOffset [25194,25209]","SimpleName: lastOffset [27978,27988]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"MethodInvocation:MethodInvocation","SimpleName: m_topicAndPartition [20947,20966]","SimpleName: partition [24533,24542]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"MethodInvocation:MethodInvocation","SimpleName: programBuilder [43334,43348]","SimpleName: mdProvider [42188,42198]","https://github.com/apache/hive/commit/999e0e3616525d77cf46c5865f9981b5a6b5609a","ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java"
"MethodInvocation:MethodInvocation","SimpleName: numValues [2421,2430]","SimpleName: values [2499,2505]","https://github.com/facebook/buck/commit/6c93f15f502f39dff99ecb01b56dcad7dddb0f0d","src/com/facebook/buck/android/aapt/AaptResourceCollector.java"
"MethodInvocation:MethodInvocation","SimpleName: method [8316,8322]","SimpleName: methods [7872,7879]","https://github.com/junit-team/junit5/commit/6b575f2ee5f02288a774ff0a85ce3a3e3cb6946f","junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/ClassTestDescriptor.java"
"MethodInvocation:MethodInvocation","SimpleName: localFolder [147813,147824]","SimpleName: localStore [147687,147697]","https://github.com/k9mail/k-9/commit/9d44f0e06232661259681d64002dd53c7c43099d","k9mail/src/main/java/com/fsck/k9/controller/MessagingController.java"
"MethodInvocation:MethodInvocation","SimpleName: arrayClass [15504,15514]","SimpleName: itemJClass [17149,17159]","https://github.com/linkedin/rest.li/commit/bd0d3bf75d31a8b5db34b8b66dfb28e5e1f492de","generator/src/main/java/com/linkedin/pegasus/generator/JavaDataTemplateGenerator.java"
"MethodInvocation:MethodInvocation","SimpleName: _wrappingMapClass [18488,18505]","SimpleName: mapClass [20408,20416]","https://github.com/linkedin/rest.li/commit/bd0d3bf75d31a8b5db34b8b66dfb28e5e1f492de","generator/src/main/java/com/linkedin/pegasus/generator/JavaDataTemplateGenerator.java"
"MethodInvocation:MethodInvocation","SimpleName: _wrappingArrayClass [15524,15543]","SimpleName: arrayClass [17161,17171]","https://github.com/linkedin/rest.li/commit/bd0d3bf75d31a8b5db34b8b66dfb28e5e1f492de","generator/src/main/java/com/linkedin/pegasus/generator/JavaDataTemplateGenerator.java"
"MethodInvocation:MethodInvocation","SimpleName: mapClass [18470,18478]","SimpleName: valueJClass [20395,20406]","https://github.com/linkedin/rest.li/commit/bd0d3bf75d31a8b5db34b8b66dfb28e5e1f492de","generator/src/main/java/com/linkedin/pegasus/generator/JavaDataTemplateGenerator.java"
"MethodInvocation:MethodInvocation","SimpleName: Intent [7591,7597]","SimpleName: INTENT_EXTRA_URL [6694,6710]","https://github.com/pockethub/PocketHub/commit/a7401e5091c06c68fae499ea1972b40143c66fa9","app/src/main/java/com/github/mobile/accounts/LoginActivity.java"
"MethodInvocation:MethodInvocation","SimpleName: node [10547,10551]","SimpleName: name [11071,11075]","Closure/137","src_com_google_javascript_jscomp_MakeDeclaredNamesUnique.java"
"MethodInvocation:MethodInvocation","SimpleName: nameMap [9006,9013]","SimpleName: name [10920,10924]","Closure/137","src_com_google_javascript_jscomp_MakeDeclaredNamesUnique.java"
"MethodInvocation:MethodInvocation","SimpleName: input [4198,4203]","SimpleName: single [4787,4793]","Compress/2","src_main_java_org_apache_commons_compress_archivers_ar_ArArchiveInputStream.java"
"MethodInvocation:MethodInvocation","SimpleName: TypeBindings [13280,13292]","SimpleName: EMPTY_BINDINGS [13266,13280]","JacksonDatabind/95","src_main_java_com_fasterxml_jackson_databind_type_TypeFactory.java"
"MethodInvocation:MethodInvocation","SimpleName: TypeBindings [12738,12750]","SimpleName: EMPTY_BINDINGS [12738,12752]","JacksonDatabind/95","src_main_java_com_fasterxml_jackson_databind_type_TypeFactory.java"
"MethodInvocation:MethodInvocation","SimpleName: name [2682,2686]","SimpleName: nodeNameTest [3202,3214]","JxPath/18","src_java_org_apache_commons_jxpath_ri_axes_AttributeContext.java"
