"ParentTypesPair","First","Second","URL","FileName"
"MethodInvocation:MethodInvocation","SimpleName: persistentObjectsToInsert [30256,30281]","SimpleName: flushPersistentObjects [30190,30212]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb","modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSession.java"
"MethodInvocation:MethodInvocation","SimpleName: size [30282,30286]","SimpleName: persistentObjectClass [30213,30234]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb","modules/activiti-engine/src/main/java/org/activiti/engine/impl/db/DbSqlSession.java"
"MethodDeclaration:VariableDeclarationFragment","SimpleName: mDir [1087,1091]","SimpleName: BlockMeta [996,1005]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c","servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java"
"ReturnStatement:SingleVariableDeclaration","SimpleName: mBlockId [1340,1348]","SimpleName: tempBlock [1128,1137]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c","servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java"
"MarkerAnnotation:MethodDeclaration","SimpleName: getBlockSize [1369,1381]","SimpleName: Override [1235,1243]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c","servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java"
"MethodDeclaration:SimpleType","SimpleName: getBlockId [1314,1324]","SimpleName: TempBlockMeta [1114,1127]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c","servers/src/main/java/tachyon/worker/block/meta/BlockMeta.java"
"MemberRef:MethodRef","SimpleName: freeSpace [4653,4662]","SimpleName: freeSpaceWithView [4653,4670]","https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763","servers/src/main/java/tachyon/worker/block/evictor/LRUEvictor.java"
"MethodInvocation:SingleVariableDeclaration","SimpleName: dir [1820,1823]","SimpleName: getCandidateDirInTier [1877,1898]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"ClassInstanceCreation:MethodInvocation","SimpleName: getAvailableBytes [1939,1956]","SimpleName: blockSize [2005,2014]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"ClassInstanceCreation:MethodInvocation","SimpleName: dir [1935,1938]","SimpleName: blockId [1996,2003]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"ClassInstanceCreation:InfixExpression","SimpleName: maxFreeBytes [1892,1904]","SimpleName: userId [1988,1994]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"MethodInvocation:SimpleType","SimpleName: getAvailableBytes [1869,1886]","SimpleName: TempBlockMeta [1974,1987]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"InfixExpression:MethodInvocation","SimpleName: dir [1865,1868]","SimpleName: candidateDir [1929,1941]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825","servers/src/main/java/tachyon/worker/block/allocator/MaxFreeAllocator.java"
"MethodInvocation:MethodInvocation","SimpleName: fs [2482,2484]","SimpleName: getBlockOutStream [3428,3445]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodInvocation:TagElement","SimpleName: getFile [2474,2481]","SimpleName: IOException [3320,3331]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodDeclaration:MethodInvocation","SimpleName: createFile [2485,2495]","SimpleName: cancelLocalWriteTest [3360,3380]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"InstanceofExpression:MethodInvocation","SimpleName: file [2578,2582]","SimpleName: os [3503,3505]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodDeclaration:VariableDeclarationFragment","SimpleName: fs [2421,2423]","SimpleName: cancelRemoteWriteTest [3049,3070]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MarkerAnnotation:SimpleType","SimpleName: TachyonFS [2411,2420]","SimpleName: Test [3030,3034]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodInvocation:MethodInvocation","SimpleName: fs [2471,2473]","SimpleName: cancel [3239,3245]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodInvocation:SimpleType","SimpleName: conf [2609,2613]","SimpleName: LocalBlockOutStream [3517,3536]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodInvocation:MethodInvocation","SimpleName: conf [2440,2444]","SimpleName: getBlockOutStream [3118,3135]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodInvocation:SimpleType","SimpleName: TachyonFS [2426,2435]","SimpleName: IOException [3080,3091]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodInvocation:VariableDeclarationFragment","SimpleName: get [2436,2439]","SimpleName: os [3113,3115]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodInvocation:MethodInvocation","SimpleName: sLocalTachyonCluster [2305,2325]","SimpleName: getBlockOutStream [2817,2834]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358","integration-tests/src/test/java/tachyon/client/BlockOutStreamIntegrationTest.java"
"MethodInvocation:VariableDeclarationFragment","SimpleName: feed [811,815]","SimpleName: icon [805,809]","https://github.com/Athou/commafeed/commit/18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7","src/main/java/com/commafeed/backend/favicon/DefaultFaviconFetcher.java"
"MethodInvocation:MethodInvocation","SimpleName: Arrays [5272,5278]","SimpleName: getInheritedPrivateMethod [5382,5407]","https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a","modules/cpr/src/main/java/org/atmosphere/inject/InjectableObjectFactory.java"
"MethodInvocation:MethodInvocation","SimpleName: res [46639,46642]","SimpleName: initTickerView [46695,46709]","https://github.com/CyanogenMod/android_frameworks_base/commit/658a918eebcbdeb4f920c2947ca8d0e79ad86d89","packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBar.java"
"ClassInstanceCreation:MethodInvocation","SimpleName: updateSize [44104,44114]","SimpleName: size [44479,44483]","https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc","core/java/com/android/internal/widget/LockPatternUtils.java"
"MethodInvocation:MethodInvocation","SimpleName: logReader [8679,8688]","SimpleName: getIntervalHistogram [9272,9292]","https://github.com/HdrHistogram/HdrHistogram/commit/0e65ac4da70c6ca5c67bb8418e67db914218042f","src/main/java/org/HdrHistogram/HistogramLogProcessor.java"
"Assignment:SuperMethodInvocation","SimpleName: rename [2844,2850]","SimpleName: newName [2838,2845]","https://github.com/JetBrains/MPS/commit/ce4b0e22659c16ae83d421f9621fd3e922750764","core/project/source/jetbrains/mps/smodel/Generator.java"
