url,refactoring,type,ignoredMappings,ignoredElements,RM2_TP_raw_abstractMapping,RM2_TP_abstractMapping,RM2_FP_abstractMapping,RM2_FN_abstractMapping,RM2_TP_raw_programElement,RM2_TP_programElement,RM2_FP_programElement,RM2_FN_programElement,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Extract Method	private runTests(testable Testable  tests int  unsorteds Integer[][]  sorteds Integer[][]  strings String[]) : boolean extracted from private runTests() : boolean in class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming,EXTRACT_OPERATION,0,0,475,475,111,183,1,1,0,0,658,658,0,0,1,1,0,0
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Add Parameter	input : String in method private handleError(input String  obj Object) : void from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming,ADD_PARAMETER,0,0,4,4,0,0,1,1,0,0,4,4,0,0,1,1,0,0
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Change Variable Type	value : Integer to item : T in method private testJavaCollection(collection Collection<T>  type Class<T>  name String  _unsorted Integer[]  _sorted Integer[]  input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming,CHANGE_VARIABLE_TYPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Rename Variable	value : Integer to item : T in method private testJavaCollection(collection Collection<T>  type Class<T>  name String  _unsorted Integer[]  _sorted Integer[]  input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming,RENAME_VARIABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Add Parameter	_unsorted : Integer[] in method private testJavaCollection(collection Collection<T>  type Class<T>  name String  _unsorted Integer[]  _sorted Integer[]  input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming,ADD_PARAMETER,0,0,356,356,4,15,1,1,0,0,371,371,0,0,1,1,0,0
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Add Method Annotation	@SuppressWarnings("unchecked") in method private testJavaCollection(collection Collection<T>  type Class<T>  name String  _unsorted Integer[]  _sorted Integer[]  input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming,ADD_METHOD_ANNOTATION,0,0,356,356,4,15,1,1,0,0,371,371,0,0,1,1,0,0
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Add Parameter	valueType : Class<V> in method private testJavaMap(map Map<K V>  keyType Class<K>  valueType Class<V>  name String  _unsorted Integer[]  _sorted Integer[]  input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming,ADD_PARAMETER,0,0,335,335,11,15,1,1,0,0,350,350,0,0,1,1,0,0
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Extract Method	private runTest(testable Testable  unsorted Integer[]  sorted Integer[]  results double[]  count int) : int extracted from public main(args String[]) : void in class com.jwetherell.algorithms.sorts.timing.SortsTiming,EXTRACT_OPERATION,0,0,380,380,57,59,1,1,0,0,439,439,1,0,1,1,0,0
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Rename Variable	bBubble : long to bInsertion : long in method private runTest(testable Testable  unsorted Integer[]  sorted Integer[]  results double[]  count int) : int from class com.jwetherell.algorithms.sorts.timing.SortsTiming,RENAME_VARIABLE,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0
https://github.com/phishman3579/java-algorithms-implementation/commit/ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9,Rename Variable	aBubble : long to aInsertion : long in method private runTest(testable Testable  unsorted Integer[]  sorted Integer[]  results double[]  count int) : int from class com.jwetherell.algorithms.sorts.timing.SortsTiming,RENAME_VARIABLE,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0
