url,srcFileName,ignoredMappings,ignoredElements,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement,GTG_TP_raw_abstractMapping,GTG_TP_abstractMapping,GTG_FP_abstractMapping,GTG_FN_abstractMapping,GTG_TP_raw_programElement,GTG_TP_programElement,GTG_FP_programElement,GTG_FN_programElement,GTS_TP_raw_abstractMapping,GTS_TP_abstractMapping,GTS_FP_abstractMapping,GTS_FN_abstractMapping,GTS_TP_raw_programElement,GTS_TP_programElement,GTS_FP_programElement,GTS_FN_programElement,IJM_TP_raw_abstractMapping,IJM_TP_abstractMapping,IJM_FP_abstractMapping,IJM_FN_abstractMapping,IJM_TP_raw_programElement,IJM_TP_programElement,IJM_FP_programElement,IJM_FN_programElement,MTD_TP_raw_abstractMapping,MTD_TP_abstractMapping,MTD_FP_abstractMapping,MTD_FN_abstractMapping,MTD_TP_raw_programElement,MTD_TP_programElement,MTD_FP_programElement,MTD_FN_programElement,GT2_TP_raw_abstractMapping,GT2_TP_abstractMapping,GT2_FP_abstractMapping,GT2_FN_abstractMapping,GT2_TP_raw_programElement,GT2_TP_programElement,GT2_FP_programElement,GT2_FN_programElement
https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb,modules.activiti-engine.src.main.java.org.activiti.engine.impl.db.DbSqlSession,874,144,916,42,0,0,146,2,0,0,902,28,3,14,145,1,1,1,909,35,2,7,145,1,1,1,906,32,2,10,146,2,0,0,904,30,5,12,145,1,1,1,902,28,1,14,145,1,1,1
https://github.com/Activiti/Activiti/commit/ca7d0c3b33a0863bed04c77932b9ef6b1317f34e,modules.activiti-engine.src.main.java.org.activiti.engine.impl.persistence.entity.UserEntityTest,22,12,22,0,0,0,12,0,0,0,22,0,0,0,12,0,0,0,22,0,0,0,12,0,0,0,22,0,0,0,12,0,0,0,22,0,0,0,12,0,0,0,22,0,0,0,12,0,0,0
https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c,servers.src.main.java.tachyon.worker.block.meta.BlockMeta,0,0,11,11,0,2,10,10,0,0,3,3,0,10,3,3,0,7,3,3,0,10,3,3,0,7,3,3,0,10,2,2,1,8,3,3,1,10,3,3,1,7,3,3,1,10,3,3,0,7
https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c,servers.src.main.java.tachyon.worker.block.meta.TempBlockMeta,0,0,2,2,0,0,2,2,0,0,0,0,0,2,1,1,0,1,0,0,0,2,0,0,0,2,0,0,0,2,1,1,0,1,0,0,0,2,1,1,0,1,0,0,0,2,1,1,0,1
https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763,servers.src.main.java.tachyon.worker.block.evictor.LRUEvictor,40,13,114,74,0,0,16,3,0,0,113,73,1,1,15,2,1,1,113,73,1,1,15,2,1,1,114,74,0,0,16,3,0,0,113,73,1,1,15,2,1,1,113,73,1,1,15,2,1,1
https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825,servers.src.main.java.tachyon.worker.block.allocator.MaxFreeAllocator,2,2,31,29,0,0,4,2,0,0,23,21,3,8,4,2,0,0,23,21,1,8,4,2,0,0,17,15,4,14,4,2,0,0,14,12,7,17,3,1,1,1,23,21,3,8,4,2,0,0
https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358,clients.unshaded.src.main.java.tachyon.client.RemoteBlockOutStream,15,12,91,76,0,0,23,11,0,0,91,76,0,0,23,11,0,0,91,76,0,0,21,9,0,2,91,76,0,0,23,11,0,0,91,76,0,0,23,11,0,0,91,76,0,0,23,11,0,0
https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358,integration-tests.src.test.java.tachyon.client.BlockOutStreamIntegrationTest,5,3,21,16,0,0,6,3,0,0,9,4,9,12,4,1,1,2,8,3,5,13,4,1,1,2,13,8,0,8,6,3,0,0,13,8,7,8,5,2,1,1,13,8,3,8,4,1,1,2
https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f,api.src.main.java.org.asynchttpclient.oauth.OAuthSignatureCalculator,91,32,132,41,0,0,38,6,0,0,128,37,3,4,37,5,1,1,129,38,3,3,37,5,1,1,126,35,2,6,38,6,0,0,130,39,2,2,38,6,0,0,128,37,3,4,37,5,1,1
https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f,api.src.test.java.org.asynchttpclient.oauth.OAuthSignatureCalculatorTest,60,15,60,0,0,0,16,1,0,0,60,0,0,0,16,1,0,0,60,0,0,0,16,1,0,0,60,0,0,0,16,1,0,0,60,0,0,0,16,1,0,0,60,0,0,0,16,1,0,0
https://github.com/Athou/commafeed/commit/18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7,src.main.java.com.commafeed.backend.favicon.DefaultFaviconFetcher,54,3,75,21,0,0,5,2,0,0,72,18,2,3,4,1,1,1,72,18,2,3,4,1,1,1,74,20,0,1,5,2,0,0,72,18,2,3,4,1,1,1,72,18,2,3,4,1,1,1
https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a,modules.cpr.src.main.java.org.atmosphere.inject.InjectableObjectFactory,107,16,123,16,0,0,19,3,0,0,111,4,0,12,18,2,0,1,110,3,0,13,18,2,0,1,110,3,1,13,18,2,0,1,111,4,0,12,18,2,0,1,111,4,0,12,18,2,0,1
https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a,modules.cpr.src.main.java.org.atmosphere.util.Utils,139,18,151,12,0,0,20,2,0,0,139,0,0,12,19,1,0,1,139,0,0,12,19,1,0,1,139,0,0,12,19,1,0,1,139,0,0,12,19,1,0,1,139,0,0,12,19,1,0,1
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e,admin.broadleaf-open-admin-platform.src.main.java.org.broadleafcommerce.openadmin.dto.BasicFieldMetadata,431,169,514,83,0,1,174,5,0,0,510,79,0,5,171,2,0,3,510,79,0,5,171,2,0,3,510,79,0,5,171,2,0,3,510,79,0,5,171,2,0,3,510,79,0,5,171,2,0,3
