url,srcFileName,ignoredMappings,ignoredElements,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement,GTG_TP_raw_abstractMapping,GTG_TP_abstractMapping,GTG_FP_abstractMapping,GTG_FN_abstractMapping,GTG_TP_raw_programElement,GTG_TP_programElement,GTG_FP_programElement,GTG_FN_programElement,GTS_TP_raw_abstractMapping,GTS_TP_abstractMapping,GTS_FP_abstractMapping,GTS_FN_abstractMapping,GTS_TP_raw_programElement,GTS_TP_programElement,GTS_FP_programElement,GTS_FN_programElement,IJM_TP_raw_abstractMapping,IJM_TP_abstractMapping,IJM_FP_abstractMapping,IJM_FN_abstractMapping,IJM_TP_raw_programElement,IJM_TP_programElement,IJM_FP_programElement,IJM_FN_programElement,MTD_TP_raw_abstractMapping,MTD_TP_abstractMapping,MTD_FP_abstractMapping,MTD_FN_abstractMapping,MTD_TP_raw_programElement,MTD_TP_programElement,MTD_FP_programElement,MTD_FN_programElement,GT2_TP_raw_abstractMapping,GT2_TP_abstractMapping,GT2_FP_abstractMapping,GT2_FN_abstractMapping,GT2_TP_raw_programElement,GT2_TP_programElement,GT2_FP_programElement,GT2_FN_programElement
Chart/commit/1,source_org_jfree_chart_renderer_category_AbstractCategoryItemRenderer,646,80,677,31,0,0,82,2,0,0,677,31,0,0,82,2,0,0,677,31,0,0,82,2,0,0,677,31,0,0,82,2,0,0,677,31,0,0,82,2,0,0,677,31,0,0,82,2,0,0
Chart/commit/10,source_org_jfree_chart_imagemap_StandardToolTipTagFragmentGenerator,2,1,4,2,0,0,3,2,0,0,4,2,0,0,3,2,0,0,4,2,0,0,3,2,0,0,4,2,0,0,3,2,0,0,4,2,0,0,3,2,0,0,4,2,0,0,3,2,0,0
Chart/commit/11,source_org_jfree_chart_util_ShapeUtilities,216,21,248,32,0,0,23,2,0,0,248,32,0,0,23,2,0,0,248,32,0,0,23,2,0,0,248,32,0,0,23,2,0,0,248,32,0,0,23,2,0,0,248,32,0,0,23,2,0,0
Chart/commit/12,source_org_jfree_chart_plot_MultiplePiePlot,226,28,240,14,0,0,30,2,0,0,240,14,0,0,30,2,0,0,239,13,0,1,30,2,0,0,240,14,0,0,30,2,0,0,240,14,0,0,30,2,0,0,240,14,0,0,30,2,0,0
Chart/commit/13,source_org_jfree_chart_block_BorderArrangement,240,15,289,49,0,0,17,2,0,0,289,49,0,0,17,2,0,0,289,49,0,0,17,2,0,0,289,49,0,0,17,2,0,0,289,49,0,0,17,2,0,0,289,49,0,0,17,2,0,0
Chart/commit/14,source_org_jfree_chart_plot_CategoryPlot,1484,217,1511,27,0,0,220,3,0,0,1511,27,0,0,220,3,0,0,1511,27,0,0,220,3,0,0,1511,27,0,0,220,3,0,0,1511,27,0,0,220,3,0,0,1511,27,0,0,220,3,0,0
Chart/commit/14,source_org_jfree_chart_plot_XYPlot,1920,252,1947,27,0,0,255,3,0,0,1947,27,0,0,255,3,0,0,1947,27,0,0,255,3,0,0,1947,27,0,0,255,3,0,0,1947,27,0,0,255,3,0,0,1947,27,0,0,255,3,0,0
Chart/commit/15,source_org_jfree_chart_plot_PiePlot,990,170,1007,17,0,0,173,3,0,0,1007,17,0,0,173,3,0,0,1007,17,0,0,173,3,0,0,1007,17,0,0,173,3,0,0,1007,17,0,0,173,3,0,0,1007,17,0,0,173,3,0,0
Chart/commit/16,source_org_jfree_data_category_DefaultIntervalCategoryDataset,214,34,268,54,0,0,37,3,0,0,268,54,0,0,37,3,0,0,268,54,0,0,37,3,0,0,268,54,0,0,37,3,0,0,268,54,0,0,37,3,0,0,268,54,0,0,37,3,0,0
Chart/commit/17,source_org_jfree_data_time_TimeSeries,364,52,367,3,0,0,54,2,0,0,365,1,0,2,53,1,0,1,367,3,0,0,54,2,0,0,367,3,0,0,54,2,0,0,367,3,0,0,54,2,0,0,367,3,0,0,54,2,0,0
Chart/commit/18,source_org_jfree_data_DefaultKeyedValues2D,184,27,191,7,0,0,29,2,0,0,191,7,0,0,29,2,0,0,191,7,0,0,29,2,0,0,191,7,0,0,29,2,0,0,191,7,0,0,29,2,0,0,191,7,0,0,29,2,0,0
Chart/commit/18,source_org_jfree_data_DefaultKeyedValues,143,24,152,9,0,0,27,3,0,0,152,9,0,0,27,3,0,0,152,9,0,0,27,3,0,0,152,9,0,0,27,3,0,0,151,8,1,1,27,3,0,0,152,9,0,0,27,3,0,0
Chart/commit/19,source_org_jfree_chart_plot_CategoryPlot,1429,203,1441,12,0,0,206,3,0,0,1441,12,0,0,206,3,0,0,1441,12,0,0,206,3,0,0,1441,12,0,0,206,3,0,0,1441,12,0,0,206,3,0,0,1441,12,0,0,206,3,0,0
Chart/commit/2,source_org_jfree_data_general_DatasetUtilities,1014,50,1108,94,0,0,53,3,0,0,1108,94,0,0,53,3,0,0,1108,94,0,0,53,3,0,0,1108,94,0,0,53,3,0,0,1096,82,12,12,53,3,0,0,1108,94,0,0,53,3,0,0
Chart/commit/20,source_org_jfree_chart_plot_ValueMarker,25,6,28,3,0,0,8,2,0,0,28,3,0,0,8,2,0,0,28,3,0,0,8,2,0,0,28,3,0,0,8,2,0,0,28,3,0,0,8,2,0,0,28,3,0,0,8,2,0,0
Chart/commit/21,source_org_jfree_data_statistics_DefaultBoxAndWhiskerCategoryDataset,179,44,219,40,0,0,47,3,0,0,217,38,0,2,46,2,0,1,218,39,0,1,46,2,0,1,218,39,0,1,47,3,0,0,217,38,1,2,47,3,0,0,218,39,0,1,47,3,0,0
Chart/commit/22,source_org_jfree_data_KeyedObjects2D,117,21,167,50,0,0,26,5,0,0,165,48,0,2,26,5,0,0,165,48,1,2,26,5,0,0,166,49,0,1,26,5,0,0,167,50,0,0,26,5,0,0,167,50,0,0,26,5,0,0
Chart/commit/23,source_org_jfree_chart_renderer_category_MinMaxCategoryRenderer,166,34,166,0,0,0,35,1,0,0,166,0,0,0,35,1,0,0,166,0,0,0,35,1,0,0,166,0,0,0,35,1,0,0,166,0,0,0,35,1,0,0,166,0,0,0,35,1,0,0
Chart/commit/24,source_org_jfree_chart_renderer_GrayPaintScale,29,8,34,5,0,0,10,2,0,0,34,5,0,0,10,2,0,0,34,5,0,0,10,2,0,0,34,5,0,0,10,2,0,0,34,5,0,0,10,2,0,0,34,5,0,0,10,2,0,0
Chart/commit/25,source_org_jfree_chart_renderer_category_StatisticalBarRenderer,49,12,219,170,0,0,15,3,0,0,213,164,6,6,15,3,0,0,213,164,6,6,15,3,0,0,213,164,6,6,15,3,0,0,217,168,2,2,15,3,0,0,213,164,4,6,15,3,0,0
Chart/commit/26,source_org_jfree_chart_axis_Axis,332,98,402,70,0,0,100,2,0,0,402,70,0,0,100,2,0,0,402,70,0,0,100,2,0,0,402,70,0,0,100,2,0,0,401,69,1,1,100,2,0,0,402,70,0,0,100,2,0,0
Chart/commit/3,source_org_jfree_data_time_TimeSeries,472,64,493,21,0,0,66,2,0,0,493,21,0,0,66,2,0,0,493,21,0,0,66,2,0,0,493,21,0,0,66,2,0,0,493,21,0,0,66,2,0,0,493,21,0,0,66,2,0,0
Chart/commit/4,source_org_jfree_chart_plot_XYPlot,2211,290,2284,73,0,0,292,2,0,0,2284,73,0,0,292,2,0,0,2284,73,0,0,292,2,0,0,2284,73,0,0,292,2,0,0,2282,71,2,2,292,2,0,0,2284,73,0,0,292,2,0,0
Chart/commit/5,source_org_jfree_data_xy_XYSeries,206,38,232,26,0,0,40,2,0,0,232,26,0,0,40,2,0,0,232,26,0,0,40,2,0,0,232,26,0,0,40,2,0,0,232,26,0,0,40,2,0,0,232,26,0,0,40,2,0,0
Chart/commit/6,source_org_jfree_chart_util_ShapeList,32,7,40,8,0,0,9,2,0,0,39,7,0,1,9,2,0,0,40,8,0,0,9,2,0,0,38,6,0,2,9,2,0,0,39,7,1,1,9,2,0,0,39,7,0,1,9,2,0,0
Chart/commit/7,source_org_jfree_data_time_TimePeriodValues,130,38,186,56,0,0,40,2,0,0,186,56,0,0,40,2,0,0,186,56,0,0,40,2,0,0,186,56,0,0,40,2,0,0,186,56,0,0,40,2,0,0,186,56,0,0,40,2,0,0
Chart/commit/8,source_org_jfree_data_time_Week,215,31,217,2,0,0,33,2,0,0,217,2,0,0,33,2,0,0,217,2,0,0,33,2,0,0,217,2,0,0,33,2,0,0,217,2,0,0,33,2,0,0,217,2,0,0,33,2,0,0
Chart/commit/9,source_org_jfree_data_time_TimeSeries,335,52,368,33,0,0,54,2,0,0,368,33,0,0,54,2,0,0,368,33,0,0,54,2,0,0,368,33,0,0,54,2,0,0,368,33,0,0,54,2,0,0,368,33,0,0,54,2,0,0
