"ParentTypesPair","First","Second","URL"
"MethodDeclaration:TryStatement","Block [16720,16784]","Block [16793,16909]","Cli/commit/21"
"MethodDeclaration:TryStatement","Block [8178,8530]","Block [8672,9180]","Cli/commit/21"
"IfStatement:MethodDeclaration","Block [6435,6531]","Block [6580,6652]","Cli/commit/22"
"MethodDeclaration:TryStatement","Block [9392,9969]","Block [9436,9867]","Cli/commit/26"
"IfStatement:MethodDeclaration","Block [6479,6508]","Block [6449,6527]","Closure/commit/106"
"IfStatement:MethodDeclaration","Block [12118,12547]","Block [12643,13082]","Closure/commit/137"
"IfStatement:MethodDeclaration","Block [6901,7662]","Block [6828,7713]","Closure/commit/138"
"IfStatement:MethodDeclaration","Block [6286,6855]","Block [6347,6824]","Closure/commit/141"
"IfStatement:MethodDeclaration","Block [20858,21223]","Block [21550,21630]","Closure/commit/145"
"IfStatement:MethodDeclaration","Block [13716,13843]","Block [13437,13578]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13515,13574]","Block [13016,13081]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13623,13655]","Block [13211,13247]","Closure/commit/148"
"EnhancedForStatement:MethodDeclaration","Block [7093,7263]","Block [7008,7176]","Closure/commit/158"
"EnhancedForStatement:MethodDeclaration","Block [9482,10173]","Block [8477,10033]","Closure/commit/169"
"EnhancedForStatement:MethodDeclaration","Block [8897,9749]","Block [8818,9839]","Closure/commit/24"
"IfStatement:MethodDeclaration","Block [13824,14688]","Block [13696,14511]","Closure/commit/6"
"MethodDeclaration:TryStatement","Block [10200,10250]","Block [10214,10268]","JacksonCore/commit/1"
"MethodDeclaration:TryStatement","Block [10538,10601]","Block [10662,10729]","JacksonCore/commit/1"
"IfStatement:MethodDeclaration","Block [7630,7914]","Block [8546,8633]","JacksonDatabind/commit/15"
"IfStatement:MethodDeclaration","Block [24876,25003]","Block [25357,25487]","JacksonDatabind/commit/2"
"IfStatement:MethodDeclaration","Block [24463,24796]","Block [24747,25084]","JacksonDatabind/commit/2"
"IfStatement:MethodDeclaration","Block [923,1104]","Block [1342,1383]","JacksonDatabind/commit/39"
"IfStatement:MethodDeclaration","Block [4639,5439]","Block [5012,5336]","JacksonDatabind/commit/44"
"IfStatement:MethodDeclaration","Block [1387,1696]","Block [1648,1707]","JacksonDatabind/commit/49"
"IfStatement:MethodDeclaration","Block [15631,16006]","Block [17891,18845]","JacksonDatabind/commit/53"
"IfStatement:MethodDeclaration","Block [6764,7797]","Block [6860,7847]","JacksonDatabind/commit/69"
"IfStatement:MethodDeclaration","Block [13297,13597]","Block [13364,13438]","JacksonDatabind/commit/7"
"MethodDeclaration:TryStatement","Block [986,1075]","Block [1000,1093]","Jsoup/commit/60"
"MethodDeclaration:WhileStatement","Block [3355,4070]","Block [3061,3896]","Lang/commit/17"
"IfStatement:MethodDeclaration","Block [20435,20490]","Block [20599,20807]","Lang/commit/32"
"IfStatement:MethodDeclaration","Block [3485,3537]","Block [20117,20184]","Lang/commit/32"
"MethodDeclaration:TryStatement","Block [3540,3660]","Block [3554,3678]","Math/commit/103"
"IfStatement:MethodDeclaration","Block [23175,23292]","Block [23500,23621]","Math/commit/13"
"IfStatement:MethodDeclaration","Block [10321,10438]","Block [10647,10768]","Math/commit/14"
"IfStatement:MethodDeclaration","Block [49345,49388]","Block [49380,49427]","Math/commit/17"
"MethodDeclaration:TryStatement","Block [4431,4550]","Block [4380,4643]","Math/commit/60"
"IfStatement:MethodDeclaration","Block [3900,3960]","Block [3941,4005]","Math/commit/89"
"IfStatement:MethodDeclaration","Block [1431,1475]","Block [1658,1706]","Mockito/commit/11"
"IfStatement:MethodDeclaration","Block [27848,27925]","Block [28059,28140]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [29585,29668]","Block [29870,29957]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [26521,26600]","Block [26697,26780]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [30652,30735]","Block [30975,31062]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [25799,25880]","Block [25939,26024]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [31864,31945]","Block [32224,32309]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [25082,25169]","Block [25185,25276]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [28532,28611]","Block [28779,28862]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [24391,24470]","Block [24454,24537]","Time/commit/3"
