"ParentTypesPair","First","Second","URL"
"FieldAccess:MethodInvocation","SimpleName: dataset [5110,5117]","SimpleName: setDataset [5105,5115]","Chart/commit/12"
"FieldAccess:MethodInvocation","SimpleName: startData [12570,12579]","SimpleName: getCategoryCount [12591,12607]","Chart/commit/16"
"SimpleType:SuperMethodInvocation","SimpleName: equals [3138,3144]","SimpleName: ShapeList [3125,3134]","Chart/commit/6"
"METHOD_INVOCATION_ARGUMENTS:METHOD_INVOCATION_RECEIVER","SimpleName: key [4428,4431]","SimpleName: option [4815,4821]","Cli/commit/1"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: options [2776,2783]","SimpleName: resolveOption [4128,4141]","Cli/commit/1"
"MethodInvocation:ReturnStatement","SimpleName: getValues [4434,4443]","SimpleName: option [4874,4880]","Cli/commit/1"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: processSingleHyphen [4959,4978]","SimpleName: tokens [4959,4965]","Cli/commit/18"
"InfixExpression:METHOD_INVOCATION_ARGUMENTS","SimpleName: ch [10475,10477]","SimpleName: token [10469,10474]","Cli/commit/2"
"InfixExpression:METHOD_INVOCATION_RECEIVER","SimpleName: tokens [4679,4685]","SimpleName: stopAtNonOption [4700,4715]","Cli/commit/20"
"MethodDeclaration:TryStatement","Block [16720,16784]","Block [16793,16909]","Cli/commit/21"
"MethodDeclaration:TryStatement","Block [8178,8530]","Block [8672,9180]","Cli/commit/21"
"IfStatement:MethodDeclaration","Block [6435,6531]","Block [6580,6652]","Cli/commit/22"
"METHOD_INVOCATION_RECEIVER:SimpleType","SimpleName: RuntimeException [25611,25627]","SimpleName: sb [25609,25611]","Cli/commit/23"
"Assignment:SimpleType","SimpleName: IllegalStateException [25366,25387]","SimpleName: nextLineTabStop [25356,25371]","Cli/commit/24"
"Assignment:InfixExpression","SimpleName: str [2057,2060]","SimpleName: length [2048,2054]","Cli/commit/29"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: getOptions [8515,8525]","SimpleName: options [8786,8793]","Cli/commit/30"
"IfStatement:MethodDeclaration","Block [6479,6508]","Block [6449,6527]","Closure/commit/106"
"IfStatement:MethodDeclaration","Block [61249,61293]","Block [61334,61387]","Closure/commit/109"
"InfixExpression:VariableDeclarationFragment","SimpleName: type [19927,19931]","SimpleName: typeInt [19943,19950]","Closure/commit/134"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: type [19997,20001]","SimpleName: computeRelatedTypes [20021,20040]","Closure/commit/134"
"IfStatement:MethodDeclaration","Block [12118,12547]","Block [12643,13082]","Closure/commit/137"
"IfStatement:MethodDeclaration","Block [6901,7662]","Block [6828,7713]","Closure/commit/138"
"IfStatement:MethodDeclaration","Block [6286,6855]","Block [6347,6824]","Closure/commit/141"
"IfStatement:MethodDeclaration","Block [20858,21223]","Block [21550,21630]","Closure/commit/145"
"Assignment:VariableDeclarationFragment","SimpleName: idString [16339,16347]","SimpleName: lastIdString [12189,12201]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13716,13843]","Block [13437,13578]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13515,13574]","Block [13016,13081]","Closure/commit/148"
"MethodDeclaration:SimpleType","SimpleName: appendLineMappings [11148,11166]","SimpleName: MappingVisitor [14789,14803]","Closure/commit/148"
