"ParentTypesPair","First","Second","URL"
"FieldAccess:MethodInvocation","SimpleName: startData [12570,12579]","SimpleName: getCategoryCount [12591,12607]","Chart/commit/16"
"MethodInvocation:SuperMethodInvocation","SimpleName: getItemCount [31301,31313]","SimpleName: clone [31310,31315]","Chart/commit/17"
"MethodInvocation:SimpleType","SimpleName: createCopy [31287,31297]","SimpleName: TimeSeries [31292,31302]","Chart/commit/17"
"IfStatement:MethodDeclaration","Block [10600,10635]","Block [10492,10591]","Chart/commit/18"
"MethodInvocation:VariableDeclarationFragment","SimpleName: lvalue [50486,50492]","SimpleName: uvalue [50801,50807]","Chart/commit/2"
"MethodInvocation:VariableDeclarationFragment","SimpleName: uvalue [50621,50627]","SimpleName: lvalue [50729,50735]","Chart/commit/2"
"MethodInvocation:VariableDeclarationFragment","SimpleName: lvalue [30511,30517]","SimpleName: value [30352,30357]","Chart/commit/2"
"MethodInvocation:VariableDeclarationFragment","SimpleName: uvalue [50341,50347]","SimpleName: lvalue [51140,51146]","Chart/commit/2"
"SimpleType:SuperMethodInvocation","SimpleName: equals [3138,3144]","SimpleName: ShapeList [3143,3152]","Chart/commit/6"
"MethodInvocation:VariableDeclarationFragment","SimpleName: options [2672,2679]","SimpleName: option [2603,2609]","Cli/commit/1"
"IfStatement:MethodDeclaration","Block [7611,7658]","Block [7734,7767]","Cli/commit/1"
"MethodInvocation:SimpleType","SimpleName: names [4312,4317]","SimpleName: Option [4664,4670]","Cli/commit/1"
"IfStatement:MethodDeclaration","Block [8054,8127]","Block [7867,8099]","Cli/commit/19"
"InfixExpression:MethodInvocation","SimpleName: ch [10475,10477]","SimpleName: token [10469,10474]","Cli/commit/2"
"InfixExpression:MethodInvocation","SimpleName: indexOf [4712,4719]","SimpleName: pos [4889,4892]","Cli/commit/20"
"InfixExpression:MethodInvocation","SimpleName: length [4736,4742]","SimpleName: pos [4953,4956]","Cli/commit/20"
"MethodInvocation:SimpleType","SimpleName: RuntimeException [25611,25627]","SimpleName: sb [25609,25611]","Cli/commit/23"
"InfixExpression:SimpleType","SimpleName: IllegalStateException [25366,25387]","SimpleName: width [25374,25379]","Cli/commit/24"
"EnhancedForStatement:MethodDeclaration","SingleVariableDeclaration [4864,4876]","SingleVariableDeclaration [4970,5000]","Closure/commit/12"
"MethodInvocation:VariableDeclarationFragment","SimpleName: comment [10288,10295]","SimpleName: p [10292,10293]","Closure/commit/122"
"Assignment:MethodInvocation","SimpleName: type [19951,19955]","SimpleName: typeInt [20001,20008]","Closure/commit/134"
"Assignment:MethodInvocation","SimpleName: type [19990,19994]","SimpleName: relatedTypesSet [20090,20105]","Closure/commit/134"
"InfixExpression:MethodInvocation","SimpleName: type [19927,19931]","SimpleName: typesSet [19988,19996]","Closure/commit/134"
"InfixExpression:SingleVariableDeclaration","SimpleName: parentNode [10421,10431]","SimpleName: n [10236,10237]","Closure/commit/137"
"MethodInvocation:VariableDeclarationFragment","SimpleName: scope [8793,8798]","SimpleName: it [8812,8814]","Closure/commit/137"
"IfStatement:MethodDeclaration","Block [8977,9036]","Block [8667,9313]","Closure/commit/137"
"SimpleType:VariableDeclarationFragment","SimpleName: Scope [8787,8792]","SimpleName: v [8808,8809]","Closure/commit/137"
"Assignment:MethodInvocation","SimpleName: recurseScopes [9594,9607]","SimpleName: equals [9849,9855]","Closure/commit/137"
"InfixExpression:MethodInvocation","SimpleName: getType [10372,10379]","SimpleName: references [10195,10205]","Closure/commit/137"
"EnhancedForStatement:MethodInvocation","SimpleName: getRootNode [10445,10456]","SimpleName: references [10240,10250]","Closure/commit/137"
"MethodInvocation:SingleVariableDeclaration","SimpleName: index [8300,8305]","SimpleName: referencedNames [8422,8437]","Closure/commit/137"
"Assignment:MethodInvocation","SimpleName: oldName [10035,10042]","SimpleName: remove [9896,9902]","Closure/commit/137"
"IfStatement:MethodDeclaration","Block [8138,8184]","Block [8369,8394]","Closure/commit/137"
"MethodInvocation:VariableDeclarationFragment","SimpleName: newName [9114,9121]","SimpleName: v [9554,9555]","Closure/commit/137"
"InfixExpression:MethodInvocation","SimpleName: oldName [9147,9154]","SimpleName: nodes [11237,11242]","Closure/commit/137"
"MethodDeclaration:SingleVariableDeclaration","SimpleName: getOrginalNameInternal [8091,8113]","SimpleName: t [8335,8336]","Closure/commit/137"
"MethodInvocation:VariableDeclarationFragment","SimpleName: recurseScopes [9514,9527]","SimpleName: referencedNames [9790,9805]","Closure/commit/137"
"InfixExpression:MethodInvocation","SimpleName: index [8348,8353]","SimpleName: Sets [8464,8468]","Closure/commit/137"
"IfStatement:MethodDeclaration","Block [10460,10531]","Block [11173,11352]","Closure/commit/137"
"Assignment:MethodInvocation","SimpleName: index [9156,9161]","SimpleName: nodes [11254,11259]","Closure/commit/137"
