"ParentTypesPair","First","Second","URL"
"IfStatement:MethodDeclaration","Block [6956,7085]","Block [6283,7193]","Chart/commit/22"
"IfStatement:MethodDeclaration","Block [7323,7358]","Block [8054,8127]","Cli/commit/18"
"MethodDeclaration:TryStatement","Block [16720,16784]","Block [16793,16909]","Cli/commit/21"
"MethodDeclaration:TryStatement","Block [8178,8530]","Block [8672,9180]","Cli/commit/21"
"IfStatement:MethodDeclaration","Block [6435,6531]","Block [6580,6652]","Cli/commit/22"
"IfStatement:MethodDeclaration","Block [6479,6508]","Block [6449,6527]","Closure/commit/106"
"IfStatement:MethodDeclaration","Block [61249,61293]","Block [61334,61387]","Closure/commit/109"
"EnhancedForStatement:MethodDeclaration","Block [22240,22610]","Block [22683,22854]","Closure/commit/134"
"IfStatement:MethodDeclaration","Block [8775,10849]","Block [9531,10457]","Closure/commit/137"
"IfStatement:MethodDeclaration","Block [12118,12547]","Block [12643,13082]","Closure/commit/137"
"IfStatement:MethodDeclaration","Block [6901,7662]","Block [6828,7713]","Closure/commit/138"
"IfStatement:MethodDeclaration","Block [6286,6855]","Block [6347,6824]","Closure/commit/141"
"IfStatement:MethodDeclaration","Block [20858,21223]","Block [21550,21630]","Closure/commit/145"
"IfStatement:MethodDeclaration","Block [13716,13843]","Block [13437,13578]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13515,13574]","Block [13016,13081]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13623,13655]","Block [13211,13247]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13613,13867]","Block [14054,14494]","Closure/commit/157"
"EnhancedForStatement:MethodDeclaration","Block [7093,7263]","Block [7008,7176]","Closure/commit/158"
"EnhancedForStatement:MethodDeclaration","Block [9482,10173]","Block [8477,10033]","Closure/commit/169"
"EnhancedForStatement:MethodDeclaration","Block [8897,9749]","Block [8818,9839]","Closure/commit/24"
"IfStatement:MethodDeclaration","Block [20874,21254]","Block [19623,21217]","Closure/commit/40"
"IfStatement:MethodDeclaration","Block [15299,15572]","Block [15057,15197]","Closure/commit/6"
"IfStatement:MethodDeclaration","Block [13824,14688]","Block [13696,14511]","Closure/commit/6"
"MethodDeclaration:WhileStatement","Block [10243,11278]","Block [10215,11790]","Closure/commit/76"
"MethodDeclaration:TryStatement","Block [10200,10250]","Block [10214,10268]","JacksonCore/commit/1"
"MethodDeclaration:TryStatement","Block [10538,10601]","Block [10662,10729]","JacksonCore/commit/1"
"IfStatement:MethodDeclaration","Block [2684,2885]","Block [3108,3392]","JacksonDatabind/commit/10"
"IfStatement:MethodDeclaration","Block [7630,7914]","Block [8546,8633]","JacksonDatabind/commit/15"
"IfStatement:MethodDeclaration","Block [24876,25003]","Block [25357,25487]","JacksonDatabind/commit/2"
"IfStatement:MethodDeclaration","Block [24463,24796]","Block [24747,25084]","JacksonDatabind/commit/2"
"IfStatement:MethodDeclaration","Block [23696,25282]","Block [22584,27072]","JacksonDatabind/commit/22"
