"ParentTypesPair","First","Second","URL"
"EnhancedForStatement:MethodDeclaration","SingleVariableDeclaration [29983,30038]","SingleVariableDeclaration [30709,30764]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: get [31059,31062]","SimpleName: persistentObjectClass [31162,31183]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb"
"IfStatement:MethodDeclaration","Block [30141,30653]","Block [30816,31350]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb"
"METHOD_INVOCATION_ARGUMENTS:METHOD_INVOCATION_RECEIVER","SimpleName: persistentObjectsToInsert [31033,31058]","SimpleName: persistentObject [31144,31160]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb"
"MethodDeclaration:ReturnStatement","SimpleName: mBlockId [1340,1348]","SimpleName: BlockMeta [1104,1113]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c"
"MemberRef:MethodRef","SimpleName: freeSpace [4945,4954]","SimpleName: freeSpaceWithView [4906,4923]","https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763"
"MemberRef:MethodRef","SimpleName: freeSpace [4653,4662]","SimpleName: freeSpaceWithView [4653,4670]","https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763"
"Assignment:ClassInstanceCreation","SimpleName: dir [1987,1990]","SimpleName: candidateDir [2016,2028]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"IfStatement:MethodDeclaration","Block [2109,2391]","Block [2935,3233]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"InfixExpression:METHOD_INVOCATION_RECEIVER","SimpleName: dir [1865,1868]","SimpleName: candidateDir [1929,1941]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"ClassInstanceCreation:METHOD_INVOCATION_RECEIVER","SimpleName: dir [1935,1938]","SimpleName: userId [1988,1994]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"Assignment:SimpleType","SimpleName: StorageDir [1809,1819]","SimpleName: candidateDir [1862,1874]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"ClassInstanceCreation:MethodInvocation","SimpleName: getAvailableBytes [1939,1956]","SimpleName: blockId [1996,2003]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"METHOD_INVOCATION_ARGUMENTS:MethodInvocation","SimpleName: getStorageDirs [1831,1845]","SimpleName: blockSize [1905,1914]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"Assignment:ClassInstanceCreation","SimpleName: candidateDir [1972,1984]","SimpleName: blockSize [2005,2014]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"Assignment:SimpleType","SimpleName: maxFreeBytes [1920,1932]","SimpleName: TempBlockMeta [1974,1987]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"MethodInvocation:SingleVariableDeclaration","SimpleName: dir [1820,1823]","SimpleName: getCandidateDirInTier [1877,1898]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"MethodDeclaration:SingleVariableDeclaration","SimpleName: disableLocalWriteTest [1678,1699]","SimpleName: isLocalWrite [1975,1987]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358"
"MethodInvocation:VariableDeclarationFragment","SimpleName: p [9498,9499]","SimpleName: add [10064,10067]","https://github.com/AsyncHttpClient/async-http-client/commit/f01d8610b9ceebc1de59d42f569b8af3efbe0a0f"
"METHOD_INVOCATION_RECEIVER:MethodInvocation","SimpleName: Arrays [5272,5278]","SimpleName: getInheritedPrivateMethod [5382,5407]","https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a"
"IfStatement:MethodDeclaration","Block [6450,7374]","Block [6011,7006]","https://github.com/CyanogenMod/android_frameworks_base/commit/f166866cd68efa963534c5bc7fc9ca38e4aa2838"
"ClassInstanceCreation:MethodInvocation","SimpleName: updateSize [44104,44114]","SimpleName: i [44473,44474]","https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc"
