"ParentTypesPair","First","Second","URL"
"EnhancedForStatement:MethodDeclaration","SingleVariableDeclaration [29983,30038]","SingleVariableDeclaration [30709,30764]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb"
"IfStatement:MethodDeclaration","Block [30141,30653]","Block [30816,31350]","https://github.com/Activiti/Activiti/commit/a70ca1d9ad2ea07b19c5e1f9540c809d7a12d3fb"
"IfStatement:MethodDeclaration","Block [2109,2391]","Block [2935,3233]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"MethodDeclaration:TryStatement","Block [7436,7492]","Block [8874,8914]","https://github.com/FasterXML/jackson-databind/commit/cfe88fe3fbcc6b02ca55cee7b1f4ab13e249edea"
"MethodDeclaration:TryStatement","Block [5388,5943]","Block [5930,6655]","https://github.com/JetBrains/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877"
"IfStatement:MethodDeclaration","Block [3781,4024]","Block [3692,4179]","https://github.com/JetBrains/intellij-community/commit/9fbf6b852bd9766060307aff960fb597d55e24d3"
"EnhancedForStatement:MethodDeclaration","Block [15912,16225]","Block [16877,17160]","https://github.com/JetBrains/intellij-community/commit/e1625136ba12907696ef4c6e922ce073293f3a2c"
"MethodDeclaration:TryStatement","Block [6105,6493]","Block [5525,5904]","https://github.com/JetBrains/intellij-community/commit/e1f0dbc2f09541fc64ce88ee22d8f8f4648004fe"
"IfStatement:MethodDeclaration","Block [6451,7005]","Block [6290,6852]","https://github.com/JetBrains/intellij-plugins/commit/0df7cb00757fe0d4fac8d8b0d5fc46af95feb238"
"IfStatement:MethodDeclaration","Block [34515,34611]","Block [35216,35290]","https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0"
"IfStatement:MethodDeclaration","Block [24069,24173]","Block [24273,24353]","https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0"
"MethodDeclaration:TryStatement","Block [36922,37192]","Block [84869,85088]","https://github.com/Netflix/eureka/commit/f6212a7e474f812f31ddbce6d4f7a7a0d498b751"
"EnhancedForStatement:MethodDeclaration","Block [7019,8646]","Block [7435,9486]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf"
"IfStatement:MethodDeclaration","Block [24107,24282]","Block [26405,27316]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf"
"ForStatement:MethodDeclaration","Block [17994,20125]","Block [18682,21364]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf"
"MethodDeclaration:TryStatement","Block [20346,22190]","Block [21455,22717]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf"
"MethodDeclaration:TryStatement","Block [29173,29521]","Block [29518,29829]","https://github.com/apache/commons-lang/commit/d9a2c69a9d1db6072e1d7b7ea4fcbd5c15d20b5d"
"IfStatement:MethodDeclaration","Block [3528,3587]","Block [3787,3918]","https://github.com/belaban/JGroups/commit/f1533756133dec84ce8218202585ac85904da7c9"
"IfStatement:MethodDeclaration","Block [1592,2658]","Block [1677,2248]","https://github.com/belaban/JGroups/commit/f1533756133dec84ce8218202585ac85904da7c9"
"IfStatement:MethodDeclaration","Block [1489,2805]","Block [1780,2113]","https://github.com/belaban/JGroups/commit/f1533756133dec84ce8218202585ac85904da7c9"
"IfStatement:MethodDeclaration","Block [3878,3938]","Block [4103,4235]","https://github.com/belaban/JGroups/commit/f1533756133dec84ce8218202585ac85904da7c9"
"MethodDeclaration:WhileStatement","Block [8335,8994]","Block [8224,8855]","https://github.com/brianfrankcooper/YCSB/commit/0b024834549c53512ef18bce89f60ef9225d4819"
"IfStatement:MethodDeclaration","Block [2501,2724]","Block [3252,3403]","https://github.com/crashub/crash/commit/2801269c7e47bd6e243612654a74cee809d20959"
"CatchClause:MethodDeclaration","Block [5964,6219]","Block [6133,6292]","https://github.com/dropwizard/metrics/commit/4c6ab3d77cc67c7a91155d884077520dcf1509c6"
"MethodDeclaration:TryStatement","Block [3121,5274]","Block [3620,5805]","https://github.com/fabric8io/fabric8/commit/9e61a71540da58c3208fd2c7737f793c3f81e5ae"
"EnhancedForStatement:MethodDeclaration","Block [5514,8063]","Block [5925,7106]","https://github.com/facebook/buck/commit/7e104c3ed4b80ec8e9b72356396f879d1067cc40"
"EnhancedForStatement:MethodDeclaration","SingleVariableDeclaration [5480,5493]","SingleVariableDeclaration [5673,5706]","https://github.com/facebook/buck/commit/7e104c3ed4b80ec8e9b72356396f879d1067cc40"
"IfStatement:MethodDeclaration","Block [7241,7460]","Block [16964,17134]","https://github.com/facebook/buck/commit/7e104c3ed4b80ec8e9b72356396f879d1067cc40"
"IfStatement:MethodDeclaration","Block [9579,9866]","Block [8444,8979]","https://github.com/facebook/buck/commit/f26d234e8d3458f34454583c22e3bd5f4b2a5da8"
"EnhancedForStatement:MethodDeclaration","Block [4719,5126]","Block [5167,5752]","https://github.com/hibernate/hibernate-orm/commit/2b89553db5081fe4e55b7b34d636d0ea2acf71c5"
"IfStatement:MethodDeclaration","Block [54481,54524]","Block [54517,54566]","https://github.com/infinispan/infinispan/commit/03573a655bcbb77f7a76d8e22d851cc22796b4f8"
"IfStatement:MethodDeclaration","Block [20482,21697]","Block [40495,41378]","https://github.com/jOOQ/jOOQ/commit/58a4e74d28073e7c6f15d1f225ac1c2fd9aa4357"
"MethodDeclaration:TryStatement","Block [6502,6596]","Block [6559,6725]","https://github.com/junit-team/junit5/commit/6b575f2ee5f02288a774ff0a85ce3a3e3cb6946f"
"EnhancedForStatement:MethodDeclaration","Block [6889,7020]","Block [6868,7037]","https://github.com/junit-team/junit5/commit/6b575f2ee5f02288a774ff0a85ce3a3e3cb6946f"
"IfStatement:MethodDeclaration","Block [147783,147967]","Block [150487,150680]","https://github.com/k9mail/k-9/commit/9d44f0e06232661259681d64002dd53c7c43099d"
