"ParentTypesPair","First","Second","URL"
"IfStatement:MethodDeclaration","Block [3781,4024]","Block [3692,4179]","https://github.com/JetBrains/intellij-community/commit/9fbf6b852bd9766060307aff960fb597d55e24d3"
"MethodDeclaration:TryStatement","Block [6105,6493]","Block [5525,5904]","https://github.com/JetBrains/intellij-community/commit/e1f0dbc2f09541fc64ce88ee22d8f8f4648004fe"
"IfStatement:MethodDeclaration","Block [6451,7005]","Block [6290,6852]","https://github.com/JetBrains/intellij-plugins/commit/0df7cb00757fe0d4fac8d8b0d5fc46af95feb238"
"IfStatement:MethodDeclaration","Block [34515,34611]","Block [35216,35290]","https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0"
"IfStatement:MethodDeclaration","Block [24069,24173]","Block [24273,24353]","https://github.com/JetBrains/intellij-plugins/commit/83b3092c1ee11b70489732f9e69b8e01c2a966f0"
"IfStatement:MethodDeclaration","Block [84951,85082]","Block [84869,84937]","https://github.com/Netflix/eureka/commit/1cacbe2ad700275bc575234ff2b32ee0d6493817"
"EnhancedForStatement:MethodDeclaration","Block [7019,8646]","Block [7435,9486]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf"
"MethodDeclaration:TryStatement","Block [29173,29521]","Block [29518,29829]","https://github.com/apache/commons-lang/commit/d9a2c69a9d1db6072e1d7b7ea4fcbd5c15d20b5d"
"IfStatement:MethodDeclaration","Block [54481,54524]","Block [54517,54566]","https://github.com/infinispan/infinispan/commit/03573a655bcbb77f7a76d8e22d851cc22796b4f8"
"EnhancedForStatement:MethodDeclaration","Block [6889,7020]","Block [6868,7037]","https://github.com/junit-team/junit5/commit/6b575f2ee5f02288a774ff0a85ce3a3e3cb6946f"
"MethodDeclaration:TryStatement","Block [6502,6596]","Block [6559,6725]","https://github.com/junit-team/junit5/commit/6b575f2ee5f02288a774ff0a85ce3a3e3cb6946f"
"IfStatement:MethodDeclaration","Block [12158,14823]","Block [8292,10819]","https://github.com/languagetool-org/languagetool/commit/01cddc5afb590b4d36cb784637a8ea8aa31d3561"
"IfStatement:MethodDeclaration","Block [1661,1955]","Block [4270,4528]","https://github.com/netty/netty/commit/9d347ffb91f34933edb7b1124f6b70c3fc52e220"
"IfStatement:MethodDeclaration","Block [5264,5369]","Block [3323,3416]","https://github.com/spring-projects/spring-security/commit/fcc9a34356817d93c24b5ccf3107ec234a28b136"
"IfStatement:MethodDeclaration","Block [7432,8875]","Block [11802,13041]","https://github.com/wildfly/wildfly/commit/d7675fb0b19d3d22978e79954f441eeefd74a3b2"
"IfStatement:MethodDeclaration","Block [9125,12400]","Block [8792,11671]","https://github.com/wildfly/wildfly/commit/d7675fb0b19d3d22978e79954f441eeefd74a3b2"
"MethodDeclaration:TryStatement","Block [2308,2379]","Block [2571,2605]","https://github.com/zeromq/jeromq/commit/02d3fa171d02c9d82c7bdcaeb739f47d0c0006a0"
