"ParentTypesPair","First","Second","URL"
"MarkerAnnotation:MethodDeclaration","SimpleName: getBlockSize [1369,1381]","SimpleName: Override [1235,1243]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c"
"MethodDeclaration:SimpleType","SimpleName: getBlockId [1314,1324]","SimpleName: TempBlockMeta [1114,1127]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c"
"MethodDeclaration:VariableDeclarationFragment","SimpleName: mDir [1087,1091]","SimpleName: BlockMeta [996,1005]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c"
"ReturnStatement:SingleVariableDeclaration","SimpleName: mBlockId [1340,1348]","SimpleName: tempBlock [1128,1137]","https://github.com/Alluxio/alluxio/commit/0ba343846f21649e29ffc600f30a7f3e463fb24c"
"MemberRef:MethodRef","SimpleName: freeSpace [4653,4662]","SimpleName: freeSpaceWithView [4653,4670]","https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763"
"ClassInstanceCreation:InfixExpression","SimpleName: maxFreeBytes [1892,1904]","SimpleName: userId [1988,1994]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"MethodInvocation:SingleVariableDeclaration","SimpleName: dir [1820,1823]","SimpleName: getCandidateDirInTier [1877,1898]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"ClassInstanceCreation:MethodInvocation","SimpleName: dir [1935,1938]","SimpleName: blockId [1996,2003]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"InfixExpression:MethodInvocation","SimpleName: dir [1865,1868]","SimpleName: candidateDir [1929,1941]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"ClassInstanceCreation:MethodInvocation","SimpleName: getAvailableBytes [1939,1956]","SimpleName: blockSize [2005,2014]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"MethodInvocation:SimpleType","SimpleName: getAvailableBytes [1869,1886]","SimpleName: TempBlockMeta [1974,1987]","https://github.com/Alluxio/alluxio/commit/9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825"
"MethodDeclaration:MethodInvocation","SimpleName: createFile [2485,2495]","SimpleName: cancelLocalWriteTest [3360,3380]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358"
"MarkerAnnotation:SimpleType","SimpleName: TachyonFS [2411,2420]","SimpleName: Test [3030,3034]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358"
"MethodInvocation:TagElement","SimpleName: getFile [2474,2481]","SimpleName: IOException [3320,3331]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358"
"MethodDeclaration:VariableDeclarationFragment","SimpleName: fs [2421,2423]","SimpleName: cancelRemoteWriteTest [3049,3070]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358"
"InstanceofExpression:MethodInvocation","SimpleName: file [2578,2582]","SimpleName: os [3503,3505]","https://github.com/Alluxio/alluxio/commit/b0938501f1014cf663e33b44ed5bb9b24d19a358"
