"Refactoring Type","Count"
"EXTRACT_VARIABLE","56"
"ADD_PARAMETER","33"
"CHANGE_VARIABLE_TYPE","13"
"CHANGE_PARAMETER_TYPE","10"
"RENAME_VARIABLE","10"
"REMOVE_PARAMETER","8"
"RENAME_PARAMETER","8"
"SPLIT_CONDITIONAL","8"
"EXTRACT_OPERATION","7"
"INLINE_VARIABLE","6"
"MOVE_ATTRIBUTE","6"
"CHANGE_ATTRIBUTE_TYPE","5"
"EXTRACT_AND_MOVE_OPERATION","5"
"CHANGE_RETURN_TYPE","5"
"MERGE_CONDITIONAL","4"
"ADD_ATTRIBUTE_MODIFIER","4"
"MOVE_AND_RENAME_OPERATION","4"
"MOVE_OPERATION","3"
"ADD_VARIABLE_MODIFIER","3"
"REPLACE_ATTRIBUTE_WITH_VARIABLE","3"
"LOCALIZE_PARAMETER","3"
"MODIFY_ATTRIBUTE_ANNOTATION","3"
"CHANGE_OPERATION_ACCESS_MODIFIER","3"
"RENAME_METHOD","3"
"INLINE_OPERATION","2"
"EXTRACT_CLASS","2"
"PARAMETERIZE_VARIABLE","2"
"INVERT_CONDITION","2"
"ENCAPSULATE_ATTRIBUTE","2"
"ADD_THROWN_EXCEPTION_TYPE","2"
"ADD_METHOD_ANNOTATION","1"
"CHANGE_ATTRIBUTE_ACCESS_MODIFIER","1"
"ADD_CLASS_MODIFIER","1"
"MOVE_CODE","1"
"REPLACE_VARIABLE_WITH_ATTRIBUTE","1"
"ADD_METHOD_MODIFIER","1"
"REPLACE_ANONYMOUS_WITH_CLASS","1"
