"Refactoring Type","Count"
"EXTRACT_OPERATION","251"
"PULL_UP_OPERATION","141"
"MOVE_OPERATION","35"
"EXTRACT_VARIABLE","34"
"INLINE_OPERATION","32"
"RENAME_VARIABLE","29"
"PARAMETERIZE_VARIABLE","28"
"MOVE_CLASS","23"
"ADD_PARAMETER","23"
"MOVE_ATTRIBUTE","21"
"CHANGE_VARIABLE_TYPE","17"
"ADD_METHOD_ANNOTATION","16"
"INLINE_VARIABLE","16"
"CHANGE_ATTRIBUTE_ACCESS_MODIFIER","15"
"CHANGE_OPERATION_ACCESS_MODIFIER","15"
"RENAME_METHOD","15"
"ADD_METHOD_MODIFIER","14"
"RENAME_PARAMETER","12"
"MOVE_AND_RENAME_OPERATION","11"
"REPLACE_VARIABLE_WITH_ATTRIBUTE","9"
"PUSH_DOWN_ATTRIBUTE","9"
"PARAMETERIZE_ATTRIBUTE","9"
"CHANGE_PARAMETER_TYPE","8"
"ADD_PARAMETER_ANNOTATION","8"
"PUSH_DOWN_OPERATION","8"
"ADD_PARAMETER_MODIFIER","7"
"ADD_ATTRIBUTE_MODIFIER","7"
"REMOVE_PARAMETER_MODIFIER","7"
"EXTRACT_SUPERCLASS","6"
"ADD_VARIABLE_MODIFIER","6"
"REMOVE_PARAMETER","6"
"MOVE_CODE","6"
"PULL_UP_ATTRIBUTE","6"
"EXTRACT_ATTRIBUTE","5"
"CHANGE_RETURN_TYPE","5"
"REMOVE_CLASS_MODIFIER","5"
"MOVE_RENAME_ATTRIBUTE","5"
"REMOVE_METHOD_MODIFIER","4"
"REMOVE_METHOD_ANNOTATION","4"
"CHANGE_ATTRIBUTE_TYPE","4"
"REMOVE_VARIABLE_MODIFIER","4"
"MERGE_CONDITIONAL","4"
"ADD_CLASS_MODIFIER","4"
"LOCALIZE_PARAMETER","3"
"SPLIT_OPERATION","3"
"ENCAPSULATE_ATTRIBUTE","3"
"EXTRACT_AND_MOVE_OPERATION","3"
"ADD_THROWN_EXCEPTION_TYPE","3"
"CHANGE_CLASS_ACCESS_MODIFIER","2"
"REPLACE_LOOP_WITH_PIPELINE","2"
"REMOVE_ATTRIBUTE_MODIFIER","2"
"RENAME_PACKAGE","2"
"EXTRACT_INTERFACE","2"
"SPLIT_CONDITIONAL","2"
"REPLACE_ATTRIBUTE_WITH_VARIABLE","2"
"EXTRACT_CLASS","2"
"INVERT_CONDITION","2"
"RENAME_ATTRIBUTE","2"
"REMOVE_THROWN_EXCEPTION_TYPE","2"
"REORDER_PARAMETER","1"
"MOVE_PACKAGE","1"
"MODIFY_ATTRIBUTE_ANNOTATION","1"
"REMOVE_PARAMETER_ANNOTATION","1"
"REMOVE_VARIABLE_ANNOTATION","1"
"CHANGE_THROWN_EXCEPTION_TYPE","1"
"INLINE_ATTRIBUTE","1"
